brygada,kierunek,trasa,czas
464,Stara Miłosna (Graniczna),TP-SMG4,07:15:00
719,Stara Miłosna (Graniczna),TP-SMG4,07:45:00
468,Stara Miłosna (Graniczna),TP-SMG4,14:23:00
462,Stara Miłosna (Graniczna),TP-SMG4,14:53:00
464,Stara Miłosna (Graniczna),TP-SMG4,15:26:00
466,Stara Miłosna (Graniczna),TP-SMG4,15:56:00
468,Stara Miłosna (Graniczna),TP-SMG4,16:26:00
462,Stara Miłosna (Graniczna),TP-SMG4,16:56:00
464,Stara Miłosna (Graniczna),TP-SMG4,17:26:00
466,Stara Miłosna (Graniczna),TP-SMG4,17:56:00
468,Stara Miłosna (Graniczna),TP-SMG4,18:26:00
462,Stara Miłosna (Graniczna),TP-SMG4,18:56:00
