brygada,kierunek,trasa,czas
12,Sadyba,TP-SAD,05:19:00
016,Wilanów,TP-WLW,05:34:00
015,Sadyba,TP-SAD,05:49:00
3,Wilanów,TP-WLW,06:05:00
5,Sadyba,TP-SAD,06:19:00
12,Sadyba,TP-SAD,06:29:00
10,Wilanów,TP-WLW,06:39:00
9,Sadyba,TP-SAD,06:46:00
014,Sadyba,TP-SAD,06:54:00
11,Sadyba,TP-SAD,07:01:00
015,Wilanów,TP-WLW,07:09:00
016,Sadyba,TP-SAD,07:16:00
2,Sadyba,TP-SAD,07:22:00
4,Sadyba,TP-SAD,07:28:00
6,Wilanów,TP-WLW,07:34:00
5,Sadyba,TP-SAD,07:41:00
3,Sadyba,TP-SAD,07:47:00
12,Wilanów,TP-WLW,07:53:00
8,Sadyba,TP-SAD,07:59:00
9,Sadyba,TP-SAD,08:05:00
7,Sadyba,TP-SAD,08:11:00
014,Wilanów,TP-WLW,08:17:00
10,Sadyba,TP-SAD,08:23:00
13,Sadyba,TP-SAD,08:29:00
11,Sadyba,TP-SAD,08:35:00
1,Wilanów,TP-WLW,08:41:00
016,Sadyba,TP-SAD,08:47:00
015,Sadyba,TP-SAD,08:53:00
2,Sadyba,TP-SAD,08:59:00
4,Sadyba,TP-SAD,09:05:00
5,Wilanów,TP-WLW,09:11:00
3,Sadyba,TP-SAD,09:17:00
6,Sadyba,TP-SAD,09:25:00
8,Sadyba,TP-SAD,09:32:00
9,Wilanów,TP-WLW,09:40:00
7,Sadyba,TP-SAD,09:47:00
10,Sadyba,TP-SAD,09:55:00
12,Sadyba,TP-SAD,10:02:00
13,Wilanów,TP-WLW,10:10:00
11,Sadyba,TP-SAD,10:17:00
1,Sadyba,TP-SAD,10:25:00
2,Sadyba,TP-SAD,10:32:00
4,Wilanów,TP-WLW,10:40:00
3,Sadyba,TP-SAD,10:47:00
5,Sadyba,TP-SAD,10:55:00
6,Sadyba,TP-SAD,11:02:00
8,Wilanów,TP-WLW,11:10:00
7,Sadyba,TP-SAD,11:18:00
9,Sadyba,TP-SAD,11:25:00
10,Sadyba,TP-SAD,11:32:00
12,Wilanów,TP-WLW,11:40:00
11,Sadyba,TP-SAD,11:47:00
13,Sadyba,TP-SAD,11:55:00
1,Sadyba,TP-SAD,12:02:00
2,Wilanów,TP-WLW,12:10:00
3,Sadyba,TP-SAD,12:17:00
4,Sadyba,TP-SAD,12:25:00
5,Sadyba,TP-SAD,12:32:00
6,Wilanów,TP-WLW,12:40:00
7,Sadyba,TP-SAD,12:47:00
8,Sadyba,TP-SAD,12:55:00
9,Sadyba,TP-SAD,13:02:00
10,Wilanów,TP-WLW,13:10:00
11,Sadyba,TP-SAD,13:17:00
