brygada,kierunek,trasa,czas
3,Gocław,TP-GOC,05:33:00
1,Gocław,TP-GOC,06:04:00
2,Gocław,TP-GOC,06:37:00
3,Gocław,TP-GOC,07:08:00
1,Gocław,TP-GOC,07:38:00
2,Gocław,TP-GOC,08:08:00
3,Gocław,TP-GOC,08:38:00
1,Gocław,TP-GOC,09:08:00
2,Gocław,TP-GOC,09:38:00
3,Gocław,TP-GOC,10:08:00
1,Gocław,TP-GOC,10:38:00
2,Gocław,TP-GOC,11:08:00
3,Gocław,TP-GOC,11:38:00
1,Gocław,TP-GOC,12:08:00
2,Gocław,TP-GOC,12:38:00
3,Gocław,TP-GOC,13:08:00
1,Gocław,TP-GOC,13:38:00
2,Gocław,TP-GOC,14:08:00
3,Gocław,TP-GOC,14:38:00
1,Gocław,TP-GOC,15:08:00
2,Gocław,TP-GOC,15:38:00
3,Gocław,TP-GOC,16:08:00
1,Gocław,TP-GOC,16:38:00
2,Gocław,TP-GOC,17:08:00
3,Gocław,TP-GOC,17:38:00
1,Gocław,TP-GOC,18:08:00
2,Gocław,TP-GOC,18:38:00
3,Gocław,TP-GOC,19:08:00
1,Gocław,TP-GOC,19:38:00
2,Gocław,TP-GOC,20:08:00
3,Gocław,TP-GOC,20:38:00
1,Gocław,TP-GOC,21:06:00
2,Gocław,TP-GOC,21:33:00
3,Gocław,TP-GOC,22:03:00
1,Gocław,TP-GOC,22:33:00
2,Gocław,TP-GOC,23:03:00
