brygada,kierunek,trasa,czas
016,Żerań FSO,TP-FSO,04:18:00
4,Żerań FSO,TP-FSO,04:48:00
7,Żerań FSO,TP-FSO,05:07:00
8,Żerań FSO,TP-FSO,05:27:00
9,Żerań FSO,TP-FSO,05:37:00
10,Żerań FSO,TP-FSO,05:47:00
11,Żerań FSO,TP-FSO,05:57:00
016,Żerań FSO,TP-FSO,06:07:00
1,Żerań FSO,TP-FSO,06:17:00
2,Żerań FSO,TP-FSO,06:27:00
3,Żerań FSO,TP-FSO,06:37:00
4,Żerań FSO,TP-FSO,06:47:00
5,Żerań FSO,TP-FSO,06:57:00
6,Żerań FSO,TP-FSO,07:07:00
7,Żerań FSO,TP-FSO,07:22:00
8,Żerań FSO,TP-FSO,07:36:00
9,Żerań FSO,TP-FSO,07:51:00
10,Żerań FSO,TP-FSO,08:06:00
11,Żerań FSO,TP-FSO,08:21:00
016,Żerań FSO,TP-FSO,08:36:00
1,Żerań FSO,TP-FSO,08:51:00
2,Żerań FSO,TP-FSO,09:06:00
3,Żerań FSO,TP-FSO,09:21:00
4,Żerań FSO,TP-FSO,09:36:00
5,Żerań FSO,TP-FSO,09:51:00
6,Żerań FSO,TP-FSO,10:06:00
7,Żerań FSO,TP-FSO,10:21:00
8,Żerań FSO,TP-FSO,10:36:00
9,Żerań FSO,TP-FSO,10:51:00
10,Żerań FSO,TP-FSO,11:06:00
11,Żerań FSO,TP-FSO,11:21:00
1,Żerań FSO,TP-FSO,11:36:00
2,Żerań FSO,TP-FSO,11:51:00
3,Żerań FSO,TP-FSO,12:06:00
4,Żerań FSO,TP-FSO,12:21:00
5,Żerań FSO,TP-FSO,12:36:00
6,Żerań FSO,TP-FSO,12:51:00
7,Żerań FSO,TP-FSO,13:06:00
8,Żerań FSO,TP-FSO,13:21:00
9,Żerań FSO,TP-FSO,13:36:00
10,Żerań FSO,TP-FSO,13:51:00
11,Żerań FSO,TP-FSO,14:06:00
1,Żerań FSO,TP-FSO,14:21:00
2,Żerań FSO,TP-FSO,14:36:00
3,Żerań FSO,TP-FSO,14:51:00
016,Żerań FSO,TP-FSO,15:02:00
4,Żerań FSO,TP-FSO,15:12:00
5,Żerań FSO,TP-FSO,15:22:00
6,Żerań FSO,TP-FSO,15:32:00
7,Żerań FSO,TP-FSO,15:42:00
013,Żerań FSO,TP-FSO,15:52:00
8,Żerań FSO,TP-FSO,16:02:00
9,Żerań FSO,TP-FSO,16:12:00
014,Żerań FSO,TP-FSO,16:22:00
10,Żerań FSO,TP-FSO,16:32:00
11,Żerań FSO,TP-FSO,16:42:00
012,Żerań FSO,TP-FSO,16:52:00
1,Żerań FSO,TP-FSO,17:02:00
015,Żerań FSO,TP-FSO,17:12:00
2,Żerań FSO,TP-FSO,17:22:00
3,Żerań FSO,TP-FSO,17:32:00
016,Żerań FSO,TP-FSO,17:42:00
4,Żerań FSO,TP-FSO,17:52:00
5,Żerań FSO,TP-FSO,18:02:00
6,Żerań FSO,TP-FSO,18:17:00
7,Żerań FSO,TP-FSO,18:32:00
8,Żerań FSO,TP-FSO,18:47:00
9,Żerań FSO,TP-FSO,19:02:00
10,Żerań FSO,TP-FSO,19:17:00
11,Żerań FSO,TP-FSO,19:32:00
1,Żerań FSO,TP-FSO,19:47:00
2,Żerań FSO,TP-FSO,20:02:00
3,Żerań FSO,TP-FSO,20:17:00
4,Żerań FSO,TP-FSO,20:32:00
5,Żerań FSO,TP-FSO,20:47:00
6,Żerań FSO,TP-FSO,21:02:00
9,Żerań FSO,TP-FSO,21:18:00
11,Żerań FSO,TP-FSO,21:48:00
2,Żerań FSO,TP-FSO,22:18:00
3,Żerań FSO,TP-FSO,22:48:00
9,Żerań FSO,TP-FSO,23:18:00
469,Warszawska,TX-ZPA,24:08:00
