brygada,kierunek,trasa,czas
01,Metro Ratusz-Arsenał,TP-MRA,06:11:00
03,Metro Ratusz-Arsenał,TP-MRA,06:31:00
05,Metro Ratusz-Arsenał,TP-MRA,06:51:00
06,Metro Ratusz-Arsenał,TP-MRA,07:01:00
07,Metro Ratusz-Arsenał,TP-MRA,07:11:00
08,Metro Ratusz-Arsenał,TP-MRA,07:21:00
09,Metro Ratusz-Arsenał,TP-MRA,07:30:00
01,Metro Ratusz-Arsenał,TP-MRA,07:40:00
02,pl.Bankowy,TX-BAN2,07:50:00
03,Metro Ratusz-Arsenał,TP-MRA,08:00:00
04,pl.Bankowy,TX-BAN2,08:10:00
05,Metro Ratusz-Arsenał,TP-MRA,08:20:00
06,pl.Bankowy,TX-BAN4,08:30:00
07,pl.Bankowy,TX-BAN4,08:40:00
08,pl.Bankowy,TX-BAN4,08:50:00
09,pl.Bankowy,TX-BAN2,09:00:00
01,Metro Ratusz-Arsenał,TP-MRA,09:10:00
05,Metro Ratusz-Arsenał,TP-MRA,15:20:00
01,Metro Ratusz-Arsenał,TP-MRA,15:40:00
02,Metro Ratusz-Arsenał,TP-MRA,16:00:00
03,Metro Ratusz-Arsenał,TP-MRA,16:20:00
06,Metro Ratusz-Arsenał,TP-MRA,16:40:00
05,Metro Ratusz-Arsenał,TP-MRA,17:00:00
01,Metro Ratusz-Arsenał,TP-MRA,17:20:00
02,pl.Bankowy,TX-BAN2,17:40:00
