brygada,kierunek,trasa,czas
1,Michałówek,TO-MIC,04:40:00
02,Michałówek,TO-MIC,05:05:00
1,Michałówek,TO-MIC,05:40:00
02,Michałówek,TO-MIC,06:10:00
1,Michałówek,TO-MIC,06:40:00
02,Michałówek,TO-MIC,07:10:00
1,Michałówek,TO-MIC,07:40:00
02,Michałówek,TO-MIC,08:10:00
1,Michałówek,TO-MIC,08:40:00
02,Michałówek,TO-MIC,09:10:00
1,Michałówek,TO-MIC,10:10:00
1,Michałówek,TO-MIC,11:10:00
1,Michałówek,TO-MIC,12:10:00
1,Michałówek,TO-MIC,13:20:00
1,Michałówek,TO-MIC,14:20:00
02,Michałówek,TO-MIC,15:20:00
1,Michałówek,TO-MIC,15:50:00
02,Michałówek,TO-MIC,16:20:00
1,Michałówek,TO-MIC,16:50:00
02,Michałówek,TO-MIC,17:20:00
1,Michałówek,TO-MIC,17:50:00
02,Michałówek,TO-MIC,18:20:00
1,Michałówek,TO-MIC,18:50:00
02,Michałówek,TO-MIC,19:20:00
1,Michałówek,TO-MIC,19:50:00
02,Michałówek,TO-MIC,20:50:00
1,Michałówek,TO-MIC,21:50:00
1,Michałówek,TO-MIC,22:50:00
1,Michałówek,TO-MIC,24:00:00
