brygada,kierunek,trasa,czas
2,Wiejska,TP-OLS2,05:45:00
1,Wiejska,TP-OLS2,06:15:00
2,Wiejska,TP-OLS2,06:49:00
1,Wiejska,TP-OLS2,07:41:00
2,Wiejska,TP-OLS2,08:11:00
1,Olszewnica Stara,TP-OLS,08:58:00
2,Olszewnica Stara,TP-OLS,09:59:00
1,Olszewnica Stara,TP-OLS,10:56:00
2,Olszewnica Stara,TP-OLS,11:59:00
1,Olszewnica Stara,TP-OLS,12:59:00
2,Olszewnica Stara,TP-OLS,14:03:00
1,Wiejska,TP-OLS2,14:41:00
2,Wiejska,TP-OLS2,15:38:00
1,Wiejska,TP-OLS2,16:21:00
2,Wiejska,TP-OLS2,17:01:00
1,Wiejska,TP-OLS2,17:41:00
2,Wiejska,TP-OLS2,18:22:00
1,Wiejska,TP-OLS2,19:04:00
2,Wiejska,TP-OLS2,19:29:00
1,Olszewnica Stara,TP-OLS,20:14:00
1,Olszewnica Stara,TP-OLS,21:22:00
1,Olszewnica Stara,TP-OLS,22:22:00
1,Olszewnica Stara,TP-OLS,23:27:00
