brygada,kierunek,trasa,czas
1,Wiatraczna,TX-WIA,05:16:00
5,Wiatraczna,TP-WIA,05:46:00
010,Wiatraczna,TP-WIA,06:07:00
6,Wiatraczna,TX-WIA,06:24:00
7,Wiatraczna,TP-WIA,06:40:00
012,Wiatraczna,TX-WIA,06:55:00
8,Wiatraczna,TX-WIA,07:10:00
9,Wiatraczna,TP-WIA,07:25:00
011,Wiatraczna,TX-WIA,07:38:00
1,Wiatraczna,TP-WIA,07:54:00
2,Wiatraczna,TP-WIA,08:09:00
3,Wiatraczna,TX-WIA,08:24:00
4,Wiatraczna,TP-WIA,08:39:00
5,Wiatraczna,TP-WIA,08:55:00
010,Wiatraczna,TP-WIA,09:12:00
6,Wiatraczna,TP-WIA,09:32:00
7,Wiatraczna,TP-WIA,09:52:00
8,Wiatraczna,TP-WIA,10:12:00
9,Wiatraczna,TP-WIA,10:32:00
1,Wiatraczna,TP-WIA,10:52:00
2,Wiatraczna,TP-WIA,11:12:00
3,Wiatraczna,TP-WIA,11:32:00
4,Wiatraczna,TP-WIA,11:52:00
5,Wiatraczna,TP-WIA,12:12:00
6,Wiatraczna,TP-WIA,12:32:00
7,Wiatraczna,TP-WIA,12:52:00
8,Wiatraczna,TP-WIA,13:12:00
9,Wiatraczna,TP-WIA,13:32:00
1,Wiatraczna,TP-WIA,13:51:00
2,Wiatraczna,TP-WIA,14:06:00
012,Wiatraczna,TX-WIA,14:21:00
3,Wiatraczna,TP-WIA,14:36:00
4,Wiatraczna,TP-WIA,14:51:00
5,Wiatraczna,TP-WIA,15:06:00
011,Wiatraczna,TX-WIA,15:23:00
6,Wiatraczna,TP-WIA,15:39:00
7,Wiatraczna,TP-WIA,15:54:00
8,Wiatraczna,TP-WIA,16:09:00
010,Wiatraczna,TP-WIA,16:24:00
9,Wiatraczna,TP-WIA,16:39:00
1,Wiatraczna,TP-WIA,16:54:00
2,Wiatraczna,TP-WIA,17:09:00
012,Wiatraczna,TP-WIA,17:24:00
3,Wiatraczna,TP-WIA,17:39:00
4,Wiatraczna,TP-WIA,17:54:00
5,Wiatraczna,TP-WIA,18:09:00
011,Wiatraczna,TP-WIA,18:24:00
6,Wiatraczna,TP-WIA,18:39:00
7,Wiatraczna,TP-WIA,18:57:00
8,Wiatraczna,TP-WIA,19:14:00
010,Wiatraczna,TP-WIA,19:33:00
9,Wiatraczna,TP-WIA,19:53:00
1,Wiatraczna,TP-WIA,20:13:00
2,Wiatraczna,TP-WIA,20:33:00
3,Wiatraczna,TP-WIA,20:53:00
4,Wiatraczna,TP-WIA,21:16:00
6,Wiatraczna,TP-WIA,21:46:00
8,Wiatraczna,TX-WIA3,22:16:00
9,Wiatraczna,TX-WIA3,22:46:00
2,Wiatraczna,TX-WIA3,23:16:00
3,Wiatraczna,TX-WIA3,23:46:00
