brygada,kierunek,trasa,czas
02,Orla,TO-ORL,04:28:00
1,Orla,TO-ORL,05:08:00
02,Orla,TO-ORL,05:28:00
1,Orla,TO-ORL,06:08:00
02,Orla,TO-ORL,06:28:00
1,Orla,TO-ORL,07:03:00
02,Orla,TO-ORL,07:44:00
1,Orla,TO-ORL,08:29:00
02,Orla,TO-ORL,09:08:00
1,Orla,TO-ORL,10:08:00
1,Orla,TO-ORL,11:08:00
1,Orla,TO-ORL,12:08:00
1,Orla,TO-ORL,13:28:00
02,Orla,TO-ORL,14:28:00
1,Orla,TO-ORL,15:08:00
02,Orla,TO-ORL,15:28:00
1,Orla,TO-ORL,16:08:00
02,Orla,TO-ORL,16:28:00
1,Orla,TO-ORL,17:08:00
02,Orla,TO-ORL,17:28:00
1,Orla,TO-ORL,18:08:00
02,Orla,TO-ORL,18:28:00
1,Orla,TO-ORL,19:08:00
02,Orla,TO-ORL,19:28:00
1,Orla,TO-ORL,20:08:00
02,Orla,TO-ORL,20:48:00
1,Orla,TO-ORL,21:28:00
1,Orla,TO-ORL,22:48:00
