brygada,kierunek,trasa,czas
06,Regulska,TP-REG,05:37:00
2,Regulska,TP-REG,05:57:00
4,Regulska,TP-REG,06:17:00
1,Regulska,TP-REG,06:33:00
06,Regulska,TP-REG,06:50:00
2,Regulska,TP-REG,07:05:00
3,Regulska,TP-REG,07:21:00
4,Regulska,TP-REG,07:37:00
05,Regulska,TP-REG,07:54:00
1,Regulska,TP-REG,08:09:00
06,Regulska,TP-REG,08:24:00
2,Regulska,TP-REG,08:39:00
3,Regulska,TP-REG,08:54:00
4,Regulska,TP-REG,09:09:00
05,Regulska,TP-REG,09:22:00
1,Regulska,TP-REG,09:41:00
06,Regulska,TP-REG,10:01:00
2,Regulska,TP-REG,10:21:00
3,Regulska,TP-REG,10:41:00
4,Regulska,TP-REG,11:01:00
1,Regulska,TP-REG,11:21:00
2,Regulska,TP-REG,11:41:00
3,Regulska,TP-REG,12:01:00
4,Regulska,TP-REG,12:21:00
1,Regulska,TP-REG,12:41:00
2,Regulska,TP-REG,13:01:00
3,Regulska,TP-REG,13:21:00
4,Regulska,TP-REG,13:41:00
1,Regulska,TP-REG,14:01:00
2,Regulska,TP-REG,14:21:00
3,Regulska,TP-REG,14:35:00
06,Regulska,TP-REG,14:50:00
4,Regulska,TP-REG,15:05:00
05,Regulska,TP-REG,15:21:00
1,Regulska,TP-REG,15:37:00
2,Regulska,TP-REG,15:52:00
3,Regulska,TP-REG,16:07:00
06,Regulska,TP-REG,16:22:00
4,Regulska,TP-REG,16:37:00
05,Regulska,TP-REG,16:52:00
1,Regulska,TP-REG,17:07:00
2,Regulska,TP-REG,17:22:00
3,Regulska,TP-REG,17:37:00
06,Regulska,TP-REG,17:52:00
4,Regulska,TP-REG,18:07:00
05,Regulska,TP-REG,18:22:00
1,Regulska,TP-REG,18:37:00
2,Regulska,TP-REG,18:52:00
3,Regulska,TP-REG,19:07:00
06,Regulska,TP-REG,19:22:00
4,Regulska,TP-REG,19:40:00
1,Regulska,TP-REG,20:00:00
2,Regulska,TP-REG,20:20:00
3,Regulska,TP-REG,20:40:00
4,Regulska,TP-REG,21:00:00
1,Regulska,TP-REG,21:18:00
2,Regulska,TP-REG,21:48:00
3,Regulska,TP-REG,22:18:00
4,Regulska,TP-REG,22:48:00
2,Regulska,TP-REG,23:18:00
4,Regulska,TP-REG,23:58:00
