brygada,kierunek,trasa,czas
1,Zdziarska-Kanał,TP-ZDZ,05:16:00
2,Zdziarska-Kanał,TP-ZDZ,05:35:00
04,Zdziarska-Kanał,TP-ZDZ,05:54:00
3,Zdziarska-Kanał,TP-ZDZ,06:14:00
1,Zdziarska-Kanał,TP-ZDZ,06:34:00
2,Zdziarska-Kanał,TP-ZDZ,06:54:00
04,Zdziarska-Kanał,TP-ZDZ,07:14:00
3,Zdziarska-Kanał,TP-ZDZ,07:34:00
1,Zdziarska-Kanał,TP-ZDZ,07:54:00
2,Zdziarska-Kanał,TP-ZDZ,08:14:00
04,Zdziarska-Kanał,TP-ZDZ,08:34:00
3,Zdziarska-Kanał,TP-ZDZ,08:59:00
1,Zdziarska-Kanał,TP-ZDZ,09:29:00
2,Zdziarska-Kanał,TP-ZDZ,09:59:00
3,Zdziarska-Kanał,TP-ZDZ,10:29:00
1,Zdziarska-Kanał,TP-ZDZ,10:59:00
2,Zdziarska-Kanał,TP-ZDZ,11:29:00
3,Zdziarska-Kanał,TP-ZDZ,11:59:00
1,Zdziarska-Kanał,TP-ZDZ,12:29:00
2,Zdziarska-Kanał,TP-ZDZ,12:59:00
3,Zdziarska-Kanał,TP-ZDZ,13:29:00
1,Zdziarska-Kanał,TP-ZDZ,13:59:00
2,Zdziarska-Kanał,TP-ZDZ,14:28:00
3,Zdziarska-Kanał,TP-ZDZ,14:51:00
1,Zdziarska-Kanał,TP-ZDZ,15:11:00
04,Zdziarska-Kanał,TP-ZDZ,15:31:00
2,Zdziarska-Kanał,TP-ZDZ,15:51:00
3,Zdziarska-Kanał,TP-ZDZ,16:11:00
1,Zdziarska-Kanał,TP-ZDZ,16:31:00
04,Zdziarska-Kanał,TP-ZDZ,16:51:00
2,Zdziarska-Kanał,TP-ZDZ,17:11:00
3,Zdziarska-Kanał,TP-ZDZ,17:31:00
1,Zdziarska-Kanał,TP-ZDZ,17:51:00
04,Zdziarska-Kanał,TP-ZDZ,18:11:00
2,Zdziarska-Kanał,TP-ZDZ,18:31:00
3,Zdziarska-Kanał,TP-ZDZ,18:59:00
1,Zdziarska-Kanał,TP-ZDZ,19:29:00
2,Zdziarska-Kanał,TP-ZDZ,19:59:00
3,Zdziarska-Kanał,TP-ZDZ,20:29:00
1,Zdziarska-Kanał,TP-ZDZ,20:59:00
2,Zdziarska-Kanał,TP-ZDZ,21:34:00
3,Zdziarska-Kanał,TP-ZDZ,22:07:00
1,Zdziarska-Kanał,TP-ZDZ,22:37:00
2,Zdziarska-Kanał,TP-ZDZ,23:07:00
