brygada,kierunek,trasa,czas
01,Metro Ratusz-Arsenał,TP-MRA,06:09:00
03,Metro Ratusz-Arsenał,TP-MRA,06:29:00
05,Metro Ratusz-Arsenał,TP-MRA,06:49:00
06,Metro Ratusz-Arsenał,TP-MRA,06:59:00
07,Metro Ratusz-Arsenał,TP-MRA,07:09:00
08,Metro Ratusz-Arsenał,TP-MRA,07:19:00
09,Metro Ratusz-Arsenał,TP-MRA,07:28:00
01,Metro Ratusz-Arsenał,TP-MRA,07:38:00
02,pl.Bankowy,TX-BAN2,07:48:00
03,Metro Ratusz-Arsenał,TP-MRA,07:58:00
04,pl.Bankowy,TX-BAN2,08:08:00
05,Metro Ratusz-Arsenał,TP-MRA,08:18:00
06,pl.Bankowy,TX-BAN4,08:28:00
07,pl.Bankowy,TX-BAN4,08:38:00
08,pl.Bankowy,TX-BAN4,08:48:00
09,pl.Bankowy,TX-BAN2,08:58:00
01,Metro Ratusz-Arsenał,TP-MRA,09:08:00
05,Metro Ratusz-Arsenał,TP-MRA,15:18:00
01,Metro Ratusz-Arsenał,TP-MRA,15:38:00
02,Metro Ratusz-Arsenał,TP-MRA,15:58:00
03,Metro Ratusz-Arsenał,TP-MRA,16:18:00
06,Metro Ratusz-Arsenał,TP-MRA,16:38:00
05,Metro Ratusz-Arsenał,TP-MRA,16:58:00
01,Metro Ratusz-Arsenał,TP-MRA,17:18:00
02,pl.Bankowy,TX-BAN2,17:38:00
