brygada,kierunek,trasa,czas
4,Cm.Północny-Brama Gł.,TP-CMP,04:40:00
2,Cm.Północny-Brama Gł.,TP-CMP,05:10:00
4,Cm.Północny-Brama Gł.,TP-CMP,05:40:00
1,Cm.Północny-Brama Gł.,TP-CMP,06:09:00
2,Cm.Północny-Brama Gł.,TP-CMP,06:29:00
3,Cm.Północny-Brama Gł.,TP-CMP,06:49:00
4,Cm.Północny-Brama Gł.,TP-CMP,07:08:00
1,Cm.Północny-Brama Gł.,TP-CMP,07:27:00
2,Cm.Północny-Brama Gł.,TP-CMP,07:47:00
3,Cm.Północny-Brama Gł.,TP-CMP,08:07:00
4,Cm.Północny-Brama Gł.,TP-CMP,08:27:00
1,Cm.Północny-Brama Gł.,TP-CMP,08:47:00
2,Cm.Północny-Brama Gł.,TP-CMP,09:07:00
3,Cm.Północny-Brama Gł.,TP-CMP,09:27:00
4,Cm.Północny-Brama Gł.,TP-CMP,09:47:00
1,Cm.Północny-Brama Gł.,TP-CMP,10:07:00
2,Cm.Północny-Brama Gł.,TP-CMP,10:27:00
3,Cm.Północny-Brama Gł.,TP-CMP,10:47:00
4,Cm.Północny-Brama Gł.,TP-CMP,11:07:00
1,Cm.Północny-Brama Gł.,TP-CMP,11:27:00
2,Cm.Północny-Brama Gł.,TP-CMP,11:47:00
3,Cm.Północny-Brama Gł.,TP-CMP,12:07:00
4,Cm.Północny-Brama Gł.,TP-CMP,12:27:00
1,Cm.Północny-Brama Gł.,TP-CMP,12:47:00
2,Cm.Północny-Brama Gł.,TP-CMP,13:07:00
3,Cm.Północny-Brama Gł.,TP-CMP,13:27:00
4,Cm.Północny-Brama Gł.,TP-CMP,13:47:00
1,Cm.Północny-Brama Gł.,TP-CMP,14:07:00
2,Cm.Północny-Brama Gł.,TP-CMP,14:27:00
3,Cm.Północny-Brama Gł.,TP-CMP,14:47:00
4,Cm.Północny-Brama Gł.,TP-CMP,15:07:00
1,Cm.Północny-Brama Gł.,TP-CMP,15:27:00
2,Cm.Północny-Brama Gł.,TP-CMP,15:47:00
3,Cm.Północny-Brama Gł.,TP-CMP,16:07:00
4,Cm.Północny-Brama Gł.,TP-CMP,16:27:00
1,Cm.Północny-Brama Gł.,TP-CMP,16:47:00
2,Cm.Północny-Brama Gł.,TP-CMP,17:07:00
3,Cm.Północny-Brama Gł.,TP-CMP,17:27:00
4,Cm.Północny-Brama Gł.,TP-CMP,17:47:00
1,Cm.Północny-Brama Gł.,TP-CMP,18:07:00
2,Cm.Północny-Brama Gł.,TP-CMP,18:27:00
3,Cm.Północny-Brama Gł.,TP-CMP,18:47:00
4,Cm.Północny-Brama Gł.,TP-CMP,19:07:00
1,Cm.Północny-Brama Gł.,TP-CMP,19:27:00
2,Cm.Północny-Brama Gł.,TP-CMP,19:47:00
3,Cm.Północny-Brama Gł.,TP-CMP,20:10:00
4,Cm.Północny-Brama Gł.,TP-CMP,20:40:00
1,Cm.Północny-Brama Gł.,TP-CMP,21:10:00
3,Cm.Północny-Brama Gł.,TP-CMP,21:40:00
1,Cm.Północny-Brama Gł.,TP-CMP,22:10:00
3,Cm.Północny-Brama Gł.,TP-CMP,22:40:00
