brygada,kierunek,trasa,czas
010,Olesin,TD-3OLE,05:23:00
8,Olesin,TO-OLE,05:53:00
1,Olesin,TD-3OLE,06:09:00
454,Olesin,TO-OLE,06:25:00
3,Olesin,TD-3OLE,06:40:00
09,Olesin,TO-OLE,06:55:00
5,Olesin,TO-OLE,07:15:00
6,Olesin,TO-OLE,07:35:00
010,Olesin,TO-OLE,07:56:00
7,Olesin,TO-OLE,08:11:00
8,Olesin,TO-OLE,08:26:00
1,Olesin,TO-OLE,08:41:00
2,Olesin,TO-OLE,08:56:00
3,Olesin,TO-OLE,09:16:00
4,Olesin,TO-OLE,09:36:00
5,Olesin,TO-OLE,09:55:00
6,Olesin,TO-OLE,10:15:00
7,Olesin,TO-OLE,10:35:00
8,Olesin,TO-OLE,10:55:00
1,Olesin,TO-OLE,11:15:00
2,Olesin,TO-OLE,11:35:00
3,Olesin,TO-OLE,11:55:00
4,Olesin,TO-OLE,12:15:00
5,Olesin,TO-OLE,12:35:00
6,Olesin,TO-OLE,12:55:00
7,Olesin,TO-OLE,13:15:00
8,Olesin,TO-OLE,13:36:00
1,Olesin,TO-OLE,13:57:00
2,Olesin,TO-OLE,14:17:00
3,Olesin,TO-OLE,14:37:00
4,Olesin,TO-OLE,14:57:00
09,Olesin,TO-OLE,15:12:00
5,Olesin,TO-OLE,15:27:00
6,Olesin,TO-OLE,15:41:00
7,Olesin,TO-OLE,15:56:00
010,Olesin,TO-OLE,16:11:00
8,Olesin,TO-OLE,16:26:00
1,Olesin,TO-OLE,16:41:00
2,Olesin,TO-OLE,16:56:00
3,Olesin,TO-OLE,17:11:00
4,Olesin,TO-OLE,17:26:00
09,Olesin,TO-OLE,17:41:00
5,Olesin,TO-OLE,17:56:00
6,Olesin,TO-OLE,18:11:00
7,Olesin,TO-OLE,18:26:00
010,Olesin,TO-OLE,18:41:00
8,Olesin,TO-OLE,18:56:00
1,Olesin,TO-OLE,19:16:00
2,Olesin,TO-OLE,19:36:00
3,Olesin,TO-OLE,19:56:00
4,Olesin,TO-OLE,20:16:00
5,Olesin,TO-OLE,20:35:00
6,Olesin,TO-OLE,20:55:00
7,Olesin,TO-OLE,21:15:00
8,Olesin,TO-OLE,21:33:00
1,Olesin,TO-OLE,21:54:00
227,Olesin,TO-OLE,22:23:00
4,Olesin,TO-OLE,22:53:00
6,Olesin,TO-OLE,23:23:00
7,Olesin,TO-OLE,23:53:00
