brygada,kierunek,trasa,czas
6,Dw.Wschodni (Lubelska),TP-DWL,04:54:00
08,Dw.Wschodni (Lubelska),TP-DWL,05:24:00
2,Dw.Wschodni (Lubelska),TP-DWL,05:50:00
3,Dw.Wschodni (Lubelska),TP-DWL,06:06:00
09,Dw.Wschodni (Lubelska),TP-DWL,06:22:00
4,Dw.Wschodni (Lubelska),TP-DWL,06:37:00
5,Dw.Wschodni (Lubelska),TP-DWL,06:52:00
6,Dw.Wschodni (Lubelska),TP-DWL,07:07:00
07,Dw.Wschodni (Lubelska),TP-DWL,07:22:00
08,Dw.Wschodni (Lubelska),TP-DWL,07:37:00
1,Dw.Wschodni (Lubelska),TP-DWL,07:52:00
2,Dw.Wschodni (Lubelska),TP-DWL,08:07:00
3,Dw.Wschodni (Lubelska),TP-DWL,08:22:00
09,Dw.Wschodni (Lubelska),TP-DWL,08:37:00
4,Dw.Wschodni (Lubelska),TP-DWL,08:54:00
5,Dw.Wschodni (Lubelska),TP-DWL,09:13:00
6,Dw.Wschodni (Lubelska),TP-DWL,09:33:00
07,Dw.Wschodni (Lubelska),TP-DWL,09:53:00
1,Dw.Wschodni (Lubelska),TP-DWL,10:13:00
2,Dw.Wschodni (Lubelska),TP-DWL,10:33:00
3,Dw.Wschodni (Lubelska),TP-DWL,10:53:00
4,Dw.Wschodni (Lubelska),TP-DWL,11:13:00
5,Dw.Wschodni (Lubelska),TP-DWL,11:33:00
6,Dw.Wschodni (Lubelska),TP-DWL,11:53:00
1,Dw.Wschodni (Lubelska),TP-DWL,12:13:00
2,Dw.Wschodni (Lubelska),TP-DWL,12:33:00
3,Dw.Wschodni (Lubelska),TP-DWL,12:53:00
4,Dw.Wschodni (Lubelska),TP-DWL,13:13:00
5,Dw.Wschodni (Lubelska),TP-DWL,13:34:00
08,Dw.Wschodni (Lubelska),TP-DWL,13:51:00
6,Dw.Wschodni (Lubelska),TP-DWL,14:06:00
1,Dw.Wschodni (Lubelska),TP-DWL,14:21:00
2,Dw.Wschodni (Lubelska),TP-DWL,14:36:00
09,Dw.Wschodni (Lubelska),TP-DWL,14:51:00
3,Dw.Wschodni (Lubelska),TP-DWL,15:06:00
4,Dw.Wschodni (Lubelska),TP-DWL,15:21:00
5,Dw.Wschodni (Lubelska),TP-DWL,15:36:00
07,Dw.Wschodni (Lubelska),TP-DWL,15:51:00
08,Dw.Wschodni (Lubelska),TP-DWL,16:06:00
6,Dw.Wschodni (Lubelska),TP-DWL,16:21:00
1,Dw.Wschodni (Lubelska),TP-DWL,16:36:00
2,Dw.Wschodni (Lubelska),TP-DWL,16:51:00
09,Dw.Wschodni (Lubelska),TP-DWL,17:06:00
3,Dw.Wschodni (Lubelska),TP-DWL,17:21:00
4,Dw.Wschodni (Lubelska),TP-DWL,17:36:00
5,Dw.Wschodni (Lubelska),TP-DWL,17:51:00
07,Dw.Wschodni (Lubelska),TP-DWL,18:06:00
08,Dw.Wschodni (Lubelska),TP-DWL,18:21:00
6,Dw.Wschodni (Lubelska),TP-DWL,18:36:00
1,Dw.Wschodni (Lubelska),TP-DWL,18:55:00
2,Dw.Wschodni (Lubelska),TP-DWL,19:15:00
3,Dw.Wschodni (Lubelska),TP-DWL,19:35:00
4,Dw.Wschodni (Lubelska),TP-DWL,19:55:00
5,Dw.Wschodni (Lubelska),TP-DWL,20:15:00
6,Dw.Wschodni (Lubelska),TP-DWL,20:35:00
1,Dw.Wschodni (Lubelska),TP-DWL,20:55:00
2,Dw.Wschodni (Lubelska),TP-DWL,21:24:00
297,Dw.Wschodni (Lubelska),TP-DWL,21:54:00
5,Dw.Wschodni (Lubelska),TP-DWL,22:24:00
1,Dw.Wschodni (Lubelska),TP-DWL,22:54:00
