brygada,kierunek,trasa,czas
015,Banacha,TD-2BAN,06:05:00
9,Banacha,TP-BAN,06:17:00
10,Banacha,TP-BAN,06:29:00
11,Banacha,TP-BAN,06:42:00
1,Banacha,TP-BAN,06:54:00
2,Banacha,TP-BAN,07:06:00
013,Banacha,TP-BAN,07:15:00
3,Banacha,TP-BAN,07:23:00
4,Banacha,TP-BAN,07:31:00
014,Banacha,TP-BAN,07:39:00
5,Banacha,TP-BAN,07:47:00
6,Banacha,TP-BAN,07:55:00
015,Banacha,TP-BAN,08:03:00
7,Banacha,TP-BAN,08:11:00
8,Banacha,TP-BAN,08:19:00
9,Banacha,TP-BAN,08:27:00
016,Banacha,TP-BAN,08:35:00
10,Banacha,TP-BAN,08:43:00
11,Banacha,TP-BAN,08:51:00
12,Banacha,TP-BAN,08:59:00
1,Banacha,TP-BAN,09:06:00
2,Banacha,TP-BAN,09:17:00
3,Banacha,TP-BAN,09:29:00
4,Banacha,TP-BAN,09:41:00
5,Banacha,TP-BAN,09:53:00
6,Banacha,TP-BAN,10:05:00
7,Banacha,TP-BAN,10:17:00
8,Banacha,TP-BAN,10:29:00
9,Banacha,TP-BAN,10:41:00
10,Banacha,TP-BAN,10:53:00
11,Banacha,TP-BAN,11:05:00
12,Banacha,TP-BAN,11:17:00
1,Banacha,TP-BAN,11:29:00
2,Banacha,TP-BAN,11:41:00
3,Banacha,TP-BAN,11:53:00
4,Banacha,TP-BAN,12:05:00
5,Banacha,TP-BAN,12:17:00
6,Banacha,TP-BAN,12:29:00
7,Banacha,TP-BAN,12:41:00
8,Banacha,TP-BAN,12:53:00
9,Banacha,TP-BAN,13:05:00
10,Banacha,TP-BAN,13:17:00
11,Banacha,TP-BAN,13:29:00
12,Banacha,TP-BAN,13:41:00
1,Banacha,TP-BAN,13:53:00
2,Banacha,TP-BAN,14:05:00
3,Banacha,TP-BAN,14:18:00
013,Banacha,TD-2BAN,14:24:00
4,Banacha,TP-BAN,14:30:00
5,Banacha,TP-BAN,14:42:00
014,Banacha,TD-2BAN,14:49:00
6,Banacha,TP-BAN,14:54:00
7,Banacha,TP-BAN,15:06:00
8,Banacha,TP-BAN,15:15:00
015,Banacha,TP-BAN,15:23:00
9,Banacha,TP-BAN,15:31:00
10,Banacha,TP-BAN,15:39:00
016,Banacha,TP-BAN,15:47:00
11,Banacha,TP-BAN,15:55:00
12,Banacha,TP-BAN,16:03:00
1,Banacha,TP-BAN,16:11:00
2,Banacha,TP-BAN,16:19:00
3,Banacha,TP-BAN,16:27:00
013,Banacha,TP-BAN,16:35:00
4,Banacha,TP-BAN,16:43:00
5,Banacha,TP-BAN,16:51:00
014,Banacha,TP-BAN,16:59:00
6,Banacha,TP-BAN,17:07:00
7,Banacha,TP-BAN,17:15:00
8,Banacha,TP-BAN,17:23:00
015,Banacha,TP-BAN,17:31:00
9,Banacha,TP-BAN,17:39:00
10,Banacha,TP-BAN,17:47:00
016,Banacha,TP-BAN,17:55:00
11,Banacha,TP-BAN,18:03:00
12,Banacha,TP-BAN,18:10:00
1,Banacha,TP-BAN,18:18:00
3,Banacha,TP-BAN,18:29:00
013,Banacha,TP-BAN,18:41:00
4,Banacha,TP-BAN,18:53:00
5,ZET MOKOTÓW,TZ-ANN3,18:59:00
014,Banacha,TP-BAN,19:05:00
6,Banacha,TP-BAN,19:17:00
8,Banacha,TP-BAN,19:29:00
015,Banacha,TP-BAN,19:41:00
9,Banacha,TP-BAN,19:53:00
016,Banacha,TP-BAN,20:05:00
11,Banacha,TP-BAN,20:17:00
12,Banacha,TP-BAN,20:29:00
1,Banacha,TP-BAN,20:41:00
3,ZET MOKOTÓW,TZ-ANN3,20:53:00
4,ZET MOKOTÓW,TZ-ANN3,21:05:00
