brygada,kierunek,trasa,czas
2,pl.Jana Pawła II,TO-ZJP,04:41:00
1,pl.Jana Pawła II,TO-ZJP,05:21:00
3,pl.Jana Pawła II,TO-ZJP,05:55:00
2,pl.Jana Pawła II,TO-ZJP,06:30:00
1,pl.Jana Pawła II,TO-ZJP,07:11:00
3,pl.Jana Pawła II,TO-ZJP,07:31:00
2,pl.Jana Pawła II,TO-ZJP,08:16:00
1,pl.Jana Pawła II,TO-ZJP,09:00:00
3,pl.Jana Pawła II,TO-ZJP,09:41:00
2,pl.Jana Pawła II,TO-ZJP,10:31:00
1,pl.Jana Pawła II,TO-ZJP,11:21:00
3,pl.Jana Pawła II,TO-ZJP,12:21:00
2,pl.Jana Pawła II,TO-ZJP,13:21:00
1,pl.Jana Pawła II,TO-ZJP,14:01:00
3,pl.Jana Pawła II,TO-ZJP,14:41:00
2,pl.Jana Pawła II,TO-ZJP,15:21:00
1,pl.Jana Pawła II,TO-ZJP,16:01:00
3,pl.Jana Pawła II,TO-ZJP,16:42:00
2,pl.Jana Pawła II,TO-ZJP,17:22:00
