brygada,kierunek,trasa,czas
8,CH Marki,TP-CHM,05:10:00
9,CH Marki,TP-CHM,05:25:00
6,CH Marki,TP-CHM,05:40:00
014,CH Marki,TP-CHM,05:55:00
3,CH Marki,TP-CHM,06:06:00
011,CH Marki,TP-CHM,06:16:00
2,CH Marki,TP-CHM,06:26:00
012,CH Marki,TP-CHM,06:36:00
4,CH Marki,TP-CHM-K,06:46:00
7,CH Marki,TP-CHM,06:56:00
013,CH Marki,TP-CHM,07:06:00
015,CH Marki,TP-CHM-K,07:16:00
9,CH Marki,TP-CHM,07:26:00
6,CH Marki,TP-CHM,07:36:00
8,CH Marki,TP-CHM-K,07:46:00
014,CH Marki,TP-CHM,07:57:00
10,CH Marki,TP-CHM-K,08:07:00
011,CH Marki,TP-CHM,08:17:00
1,CH Marki,TP-CHM-K,08:27:00
2,CH Marki,TP-CHM,08:37:00
012,CH Marki,TP-CHM,08:47:00
3,CH Marki,TP-CHM-K,08:57:00
4,CH Marki,TP-CHM,09:07:00
013,CH Marki,TP-CHM,09:17:00
5,CH Marki,TP-CHM-K,09:27:00
6,CH Marki,TP-CHM,09:42:00
7,CH Marki,TP-CHM-K,09:57:00
8,CH Marki,TP-CHM,10:12:00
9,CH Marki,TP-CHM-K,10:27:00
2,CH Marki,TP-CHM,10:42:00
10,CH Marki,TP-CHM-K,10:57:00
4,CH Marki,TP-CHM,11:12:00
1,CH Marki,TP-CHM-K,11:27:00
6,CH Marki,TP-CHM,11:42:00
3,CH Marki,TP-CHM-K,11:57:00
8,CH Marki,TP-CHM,12:12:00
5,CH Marki,TP-CHM-K,12:27:00
2,CH Marki,TP-CHM,12:42:00
7,CH Marki,TP-CHM-K,12:57:00
4,CH Marki,TP-CHM,13:12:00
9,CH Marki,TP-CHM-K,13:27:00
6,CH Marki,TP-CHM,13:42:00
10,CH Marki,TP-CHM-K,13:57:00
8,CH Marki,TP-CHM,14:12:00
1,CH Marki,TP-CHM-K,14:27:00
016,CH Marki,TP-CHM,14:42:00
2,CH Marki,TP-CHM,14:52:00
3,CH Marki,TP-CHM-K,15:02:00
4,CH Marki,TP-CHM,15:13:00
9,CH Marki,TP-CHM,15:23:00
5,CH Marki,TP-CHM-K,15:33:00
6,CH Marki,TP-CHM,15:43:00
013,CH Marki,TP-CHM,15:53:00
7,CH Marki,TP-CHM-K,16:03:00
014,CH Marki,TP-CHM,16:13:00
8,CH Marki,TP-CHM,16:23:00
012,CH Marki,TP-CHM-K,16:33:00
016,CH Marki,TP-CHM,16:43:00
2,CH Marki,TP-CHM,16:53:00
10,CH Marki,TP-CHM-K,17:03:00
4,CH Marki,TP-CHM,17:13:00
9,CH Marki,TP-CHM,17:23:00
1,CH Marki,TP-CHM-K,17:33:00
6,CH Marki,TP-CHM,17:43:00
013,CH Marki,TP-CHM,17:53:00
3,CH Marki,TP-CHM-K,18:03:00
014,CH Marki,TP-CHM,18:13:00
8,CH Marki,TP-CHM,18:23:00
5,CH Marki,TP-CHM-K,18:33:00
016,CH Marki,TP-CHM,18:43:00
7,CH Marki,TP-CHM-K,18:58:00
2,CH Marki,TP-CHM,19:12:00
012,CH Marki,TP-CHM-K,19:27:00
1,CH Marki,TP-CHM,19:42:00
10,CH Marki,TP-CHM-K,19:57:00
3,CH Marki,TP-CHM,20:11:00
9,CH Marki,TP-CHM-K,20:26:00
5,CH Marki,TP-CHM,20:41:00
6,CH Marki,TP-CHM-K,20:56:00
7,CH Marki,TP-CHM,21:11:00
8,CH Marki,TP-CHM-K,21:25:00
1,CH Marki,TP-CHM,21:40:00
016,CH Marki,TP-CHM-K,21:55:00
3,CH Marki,TP-CHM,22:10:00
2,CH Marki,TP-CHM-K,22:25:00
5,CH Marki,TP-CHM,22:40:00
6,Metro Kondratowicza,TX-MKO,22:55:00
7,CH Marki,TP-CHM,23:10:00
1,Metro Kondratowicza,TX-MKO,23:40:00
