brygada,kierunek,trasa,czas
1,Rakowiecka-Sanktuarium,TO-RAK,05:01:00
3,Rakowiecka-Sanktuarium,TO-RAK,05:31:00
4,Rakowiecka-Sanktuarium,TO-RAK,05:56:00
06,Rakowiecka-Sanktuarium,TO-RAK,06:19:00
5,Rakowiecka-Sanktuarium,TO-RAK,06:39:00
07,Rakowiecka-Sanktuarium,TO-RAK,07:00:00
1,Rakowiecka-Sanktuarium,TO-RAK,07:22:00
2,Rakowiecka-Sanktuarium,TO-RAK,07:43:00
3,Rakowiecka-Sanktuarium,TO-RAK,08:04:00
4,Rakowiecka-Sanktuarium,TO-RAK,08:24:00
06,Rakowiecka-Sanktuarium,TO-RAK,08:44:00
5,Rakowiecka-Sanktuarium,TO-RAK,09:03:00
07,Rakowiecka-Sanktuarium,TO-RAK,09:21:00
1,Rakowiecka-Sanktuarium,TO-RAK,09:40:00
2,Rakowiecka-Sanktuarium,TO-RAK,10:03:00
3,Rakowiecka-Sanktuarium,TO-RAK,10:33:00
4,Rakowiecka-Sanktuarium,TO-RAK,11:03:00
5,Rakowiecka-Sanktuarium,TO-RAK,11:33:00
1,Rakowiecka-Sanktuarium,TO-RAK,12:03:00
2,Rakowiecka-Sanktuarium,TO-RAK,12:33:00
3,Rakowiecka-Sanktuarium,TO-RAK,13:03:00
4,Rakowiecka-Sanktuarium,TO-RAK,13:33:00
5,Rakowiecka-Sanktuarium,TO-RAK,14:03:00
1,Rakowiecka-Sanktuarium,TO-RAK,14:34:00
2,Rakowiecka-Sanktuarium,TO-RAK,15:04:00
3,Rakowiecka-Sanktuarium,TO-RAK,15:35:00
4,Rakowiecka-Sanktuarium,TO-RAK,16:02:00
07,Rakowiecka-Sanktuarium,TO-RAK,16:22:00
5,Rakowiecka-Sanktuarium,TO-RAK,16:43:00
1,Rakowiecka-Sanktuarium,TO-RAK,17:03:00
2,Rakowiecka-Sanktuarium,TO-RAK,17:23:00
06,Rakowiecka-Sanktuarium,TO-RAK,17:43:00
3,Rakowiecka-Sanktuarium,TO-RAK,18:03:00
4,Rakowiecka-Sanktuarium,TO-RAK,18:22:00
07,Rakowiecka-Sanktuarium,TO-RAK,18:41:00
5,Rakowiecka-Sanktuarium,TO-RAK,19:01:00
1,Rakowiecka-Sanktuarium,TO-RAK,19:20:00
2,Rakowiecka-Sanktuarium,TO-RAK,19:38:00
06,Rakowiecka-Sanktuarium,TO-RAK,20:01:00
3,Rakowiecka-Sanktuarium,TO-RAK,20:31:00
4,Rakowiecka-Sanktuarium,TO-RAK,21:01:00
5,Rakowiecka-Sanktuarium,TO-RAK,21:31:00
1,Rakowiecka-Sanktuarium,TO-RAK,22:01:00
2,Rakowiecka-Sanktuarium,TO-RAK,22:31:00
3,Rakowiecka-Sanktuarium,TO-RAK,23:01:00
4,Rakowiecka-Sanktuarium,TO-RAK,23:31:00
