brygada,kierunek,trasa,czas
2,PKP Legionowo,TP-LEG,05:03:00
1,PKP Legionowo,TP-LEG2,05:29:00
2,PKP Legionowo,TP-LEG2,06:09:00
1,PKP Legionowo,TP-LEG2,06:55:00
2,PKP Legionowo,TP-LEG2,07:17:00
1,PKP Legionowo,TP-LEG2,08:05:00
2,PKP Legionowo,TP-LEG2,08:57:00
1,PKP Legionowo,TP-LEG,09:29:00
2,PKP Legionowo,TP-LEG,10:50:00
1,PKP Legionowo,TP-LEG,11:50:00
2,PKP Legionowo,TP-LEG,12:31:00
1,PKP Legionowo,TP-LEG,13:31:00
2,PKP Legionowo,TP-LEG,14:36:00
1,PKP Legionowo,TP-LEG2,15:11:00
2,PKP Legionowo,TP-LEG2,16:04:00
1,PKP Legionowo,TP-LEG2,16:45:00
2,PKP Legionowo,TP-LEG2,17:26:00
1,PKP Legionowo,TP-LEG2,18:05:00
2,PKP Legionowo,TP-LEG2,18:50:00
1,PKP Legionowo,TP-LEG2,19:26:00
1,PKP Legionowo,TP-LEG,20:31:00
1,PKP Legionowo,TP-LEG,21:38:00
1,PKP Legionowo,TP-LEG,22:38:00
