brygada,kierunek,trasa,czas
01,Metro Ratusz-Arsenał,TP-MRA,06:10:00
03,Metro Ratusz-Arsenał,TP-MRA,06:30:00
05,Metro Ratusz-Arsenał,TP-MRA,06:50:00
06,Metro Ratusz-Arsenał,TP-MRA,07:00:00
07,Metro Ratusz-Arsenał,TP-MRA,07:10:00
08,Metro Ratusz-Arsenał,TP-MRA,07:20:00
09,Metro Ratusz-Arsenał,TP-MRA,07:29:00
01,Metro Ratusz-Arsenał,TP-MRA,07:39:00
02,pl.Bankowy,TX-BAN2,07:49:00
03,Metro Ratusz-Arsenał,TP-MRA,07:59:00
04,pl.Bankowy,TX-BAN2,08:09:00
05,Metro Ratusz-Arsenał,TP-MRA,08:19:00
06,pl.Bankowy,TX-BAN4,08:29:00
07,pl.Bankowy,TX-BAN4,08:39:00
08,pl.Bankowy,TX-BAN4,08:49:00
09,pl.Bankowy,TX-BAN2,08:59:00
01,Metro Ratusz-Arsenał,TP-MRA,09:09:00
05,Metro Ratusz-Arsenał,TP-MRA,15:19:00
01,Metro Ratusz-Arsenał,TP-MRA,15:39:00
02,Metro Ratusz-Arsenał,TP-MRA,15:59:00
03,Metro Ratusz-Arsenał,TP-MRA,16:19:00
06,Metro Ratusz-Arsenał,TP-MRA,16:39:00
05,Metro Ratusz-Arsenał,TP-MRA,16:59:00
01,Metro Ratusz-Arsenał,TP-MRA,17:19:00
02,pl.Bankowy,TX-BAN2,17:39:00
