brygada,kierunek,trasa,czas
2,Dw.Wschodni (Kijowska),TP-DWK,04:50:00
3,Dw.Wschodni (Kijowska),TP-DWK,05:15:00
4,Dw.Wschodni (Kijowska),TP-DWK,05:45:00
5,Dw.Wschodni (Kijowska),TP-DWK,06:15:00
06,Dw.Wschodni (Kijowska),TP-DWK,06:45:00
1,Dw.Wschodni (Kijowska),TP-DWK,07:15:00
2,Dw.Wschodni (Kijowska),TP-DWK,07:45:00
3,Dw.Wschodni (Kijowska),TP-DWK,08:15:00
4,Dw.Wschodni (Kijowska),TP-DWK,08:45:00
5,Dw.Wschodni (Kijowska),TP-DWK,09:15:00
06,Metro Trocka,TX-MTA,09:30:00
1,Dw.Wschodni (Kijowska),TP-DWK,09:45:00
2,Dw.Wschodni (Kijowska),TP-DWK,10:15:00
3,Dw.Wschodni (Kijowska),TP-DWK,10:45:00
4,Dw.Wschodni (Kijowska),TP-DWK,11:15:00
5,Dw.Wschodni (Kijowska),TP-DWK,11:45:00
1,Dw.Wschodni (Kijowska),TP-DWK,12:15:00
2,Dw.Wschodni (Kijowska),TP-DWK,12:45:00
3,Dw.Wschodni (Kijowska),TP-DWK,13:15:00
06,Dw.Wschodni (Kijowska),TX-DWK,13:45:00
4,Dw.Wschodni (Kijowska),TP-DWK,14:15:00
5,Dw.Wschodni (Kijowska),TP-DWK,14:45:00
1,Dw.Wschodni (Kijowska),TP-DWK,15:15:00
2,Dw.Wschodni (Kijowska),TP-DWK,15:45:00
3,Dw.Wschodni (Kijowska),TP-DWK,16:15:00
06,Dw.Wschodni (Kijowska),TX-DWK1,16:45:00
4,Dw.Wschodni (Kijowska),TP-DWK,17:15:00
5,Dw.Wschodni (Kijowska),TP-DWK,17:45:00
1,Dw.Wschodni (Kijowska),TP-DWK,18:15:00
2,Dw.Wschodni (Kijowska),TP-DWK,18:50:00
3,Dw.Wschodni (Kijowska),TP-DWK,19:20:00
06,Metro Trocka,TX-MTA,19:35:00
4,Dw.Wschodni (Kijowska),TP-DWK,19:50:00
5,Dw.Wschodni (Kijowska),TP-DWK,20:20:00
1,Dw.Wschodni (Kijowska),TP-DWK,20:50:00
2,Dw.Wschodni (Kijowska),TP-DWK,21:20:00
3,Metro Trocka,TX-MTA,21:50:00
225,Metro Trocka,TX-MTA,22:20:00
226,Metro Trocka,TX-MTA,22:50:00
1,Metro Trocka,TX-MTA,23:20:00
