brygada,kierunek,trasa,czas
4,Piaski,TD-3PIAV,05:11:00
6,Piaski,TD-1PIAS,05:21:00
013,Piaski,TP-NBM,05:31:00
8,Piaski,TD-1PIAS,05:41:00
014,Piaski,TP-NBM,05:51:00
10,Piaski,TP-NBM,06:11:00
015,Piaski,TD-1PIAS,06:21:00
11,Piaski,TP-NBM,06:30:00
1,Piaski,TD-1PIAS,06:36:00
2,Piaski,TP-NBM,06:43:00
012,Piaski,TP-NBM,06:55:00
3,Piaski,TD-1PIAS,07:01:00
4,Piaski,TP-NBM,07:08:00
5,Piaski,TX-NBM,07:20:00
6,Piaski,TX-NBM,07:29:00
7,Piaski,TX-NBM,07:37:00
013,Piaski,TX-NBM,07:45:00
8,Piaski,TX-NBM,07:53:00
9,Piaski,TX-NBM,08:01:00
014,Piaski,TX-NBM,08:09:00
10,Piaski,TX-NBM,08:17:00
015,Piaski,TX-NBM,08:25:00
11,Piaski,TX-NBM,08:33:00
1,Piaski,TP-NBM,08:41:00
2,Piaski,TP-NBM,08:49:00
012,Piaski,TP-NBM,08:57:00
3,Piaski,TP-NBM,09:05:00
4,Piaski,TP-NBM,09:13:00
5,Piaski,TP-NBM,09:21:00
6,Piaski,TP-NBM,09:32:00
7,Piaski,TP-NBM,09:44:00
8,Piaski,TP-NBM,09:56:00
9,Piaski,TP-NBM,10:08:00
10,Piaski,TP-NBM,10:20:00
11,Piaski,TP-NBM,10:32:00
1,Piaski,TP-NBM,10:44:00
2,Piaski,TP-NBM,10:56:00
3,Piaski,TP-NBM,11:08:00
4,Piaski,TP-NBM,11:20:00
5,Piaski,TP-NBM,11:32:00
6,Piaski,TP-NBM,11:44:00
7,Piaski,TP-NBM,11:56:00
8,Piaski,TP-NBM,12:08:00
9,Piaski,TP-NBM,12:20:00
10,Piaski,TP-NBM,12:32:00
11,Piaski,TP-NBM,12:44:00
1,Piaski,TP-NBM,12:56:00
2,Piaski,TP-NBM,13:08:00
3,Piaski,TP-NBM,13:20:00
4,Piaski,TP-NBM,13:32:00
5,Piaski,TP-NBM,13:44:00
6,Piaski,TP-NBM,13:56:00
7,Piaski,TP-NBM,14:08:00
8,Piaski,TP-NBM,14:20:00
9,Piaski,TP-NBM,14:32:00
015,Piaski,TD-1PIAS,14:38:00
10,Piaski,TP-NBM,14:44:00
11,Piaski,TX-NBM,14:56:00
1,Piaski,TX-NBM,15:05:00
012,Piaski,TX-NBM,15:13:00
2,Piaski,TX-NBM,15:21:00
3,Piaski,TX-NBM,15:29:00
4,Piaski,TX-NBM,15:37:00
013,Piaski,TX-NBM,15:45:00
014,Piaski,TX-NBM,15:53:00
5,Piaski,TX-NBM,16:01:00
6,Piaski,TX-NBM,16:09:00
7,Piaski,TX-NBM,16:17:00
8,Piaski,TX-NBM,16:25:00
9,Piaski,TX-NBM,16:33:00
015,Piaski,TX-NBM,16:41:00
10,Piaski,TX-NBM,16:49:00
11,Piaski,TX-NBM,16:57:00
1,Piaski,TX-NBM,17:05:00
012,Piaski,TX-NBM,17:13:00
2,Piaski,TX-NBM,17:21:00
3,Piaski,TX-NBM,17:29:00
4,Piaski,TP-NBM,17:37:00
013,Piaski,TP-NBM,17:45:00
014,Piaski,TP-NBM,17:53:00
5,Piaski,TP-NBM,18:01:00
6,Piaski,TP-NBM,18:09:00
7,Piaski,TP-NBM,18:17:00
8,Piaski,TP-NBM,18:25:00
9,Piaski,TP-NBM,18:33:00
015,Piaski,TP-NBM,18:44:00
10,Piaski,TP-NBM,18:56:00
1,Piaski,TP-NBM,19:08:00
012,Piaski,TP-NBM,19:20:00
3,Piaski,TP-NBM,19:32:00
4,Piaski,TP-NBM,19:44:00
014,Piaski,TP-NBM,19:56:00
5,Piaski,TP-NBM,20:08:00
7,Piaski,TP-NBM,20:19:00
8,Piaski,TP-NBM,20:31:00
9,Piaski,TP-NBM,20:51:00
10,Piaski,TP-NBM,21:11:00
012,Piaski,TP-NBM,21:31:00
4,Piaski,TP-NBM,21:51:00
014,Piaski,TP-NBM,22:11:00
7,Piaski,TP-NBM,22:31:00
8,Piaski,TP-NBM,22:51:00
9,Piaski,TP-NBM,23:11:00
