brygada,kierunek,trasa,czas
1,Torwar,TO-TOR,04:24:00
3,Torwar,TO-TOR,04:43:00
5,Torwar,TO-TOR,04:58:00
452,Torwar,TX-TOR6,05:13:00
453,Torwar,TX-TOR6,05:28:00
017,Centrum,TX-CEN1,05:35:00
015,Torwar,TO-TOR,05:42:00
2,Centrum,TX-CEN1,05:49:00
018,Torwar,TO-TOR,05:56:00
7,Centrum,TX-CEN1,06:04:00
10,Torwar,TO-TOR,06:11:00
8,Centrum,TX-CEN1,06:18:00
1,Torwar,TO-TOR,06:25:00
3,Torwar,TO-TOR,06:33:00
011,Torwar,TO-TOR,06:40:00
4,Torwar,TO-TOR,06:47:00
016,Torwar,TX-TOR3,06:55:00
017,Torwar,TO-TOR,07:01:00
5,Torwar,TO-TOR,07:08:00
2,Centrum,TX-CEN1,07:14:00
6,Torwar,TO-TOR,07:20:00
013,Krucza,TX-KRU,07:26:00
7,Torwar,TO-TOR,07:33:00
014,Krucza,TX-KRU,07:40:00
8,Torwar,TO-TOR,07:48:00
012,Krucza,TX-KRU,07:55:00
015,Torwar,TO-TOR,08:03:00
018,Krucza,TX-KRU,08:11:00
9,Torwar,TO-TOR,08:18:00
10,Torwar,TO-TOR,08:33:00
1,Torwar,TO-TOR,08:46:00
2,Torwar,TO-TOR,09:02:00
3,Torwar,TO-TOR,09:17:00
4,Torwar,TO-TOR,09:32:00
5,Torwar,TO-TOR,09:47:00
6,Torwar,TO-TOR,10:02:00
7,Torwar,TO-TOR,10:17:00
8,Torwar,TO-TOR,10:32:00
9,Torwar,TO-TOR,10:47:00
10,Torwar,TO-TOR,11:02:00
1,Torwar,TO-TOR,11:17:00
2,Torwar,TO-TOR,11:32:00
3,Torwar,TO-TOR,11:47:00
4,Torwar,TO-TOR,12:02:00
5,Torwar,TO-TOR,12:17:00
6,Torwar,TO-TOR,12:32:00
7,Torwar,TO-TOR,12:47:00
8,Torwar,TO-TOR,13:02:00
9,Torwar,TO-TOR,13:17:00
10,Torwar,TO-TOR,13:32:00
1,Torwar,TO-TOR,13:47:00
2,Torwar,TO-TOR,14:02:00
3,Torwar,TO-TOR,14:17:00
4,Torwar,TO-TOR,14:30:00
5,Torwar,TO-TOR,14:44:00
6,Torwar,TO-TOR,14:59:00
7,Torwar,TO-TOR,15:14:00
011,Torwar,TO-TOR,15:29:00
8,Torwar,TO-TOR,15:44:00
9,Torwar,TO-TOR,15:59:00
10,Torwar,TO-TOR,16:14:00
1,Torwar,TO-TOR,16:29:00
2,Torwar,TO-TOR,16:44:00
3,Torwar,TO-TOR,16:59:00
4,Torwar,TO-TOR,17:14:00
5,Torwar,TO-TOR,17:29:00
6,Torwar,TO-TOR,17:45:00
7,Torwar,TO-TOR,18:01:00
8,Torwar,TO-TOR,18:18:00
9,Torwar,TO-TOR,18:36:00
10,Torwar,TO-TOR,18:52:00
1,Torwar,TO-TOR,19:07:00
2,Torwar,TO-TOR,19:22:00
3,Torwar,TO-TOR,19:37:00
4,Torwar,TO-TOR,19:52:00
5,Torwar,TO-TOR,20:07:00
6,Torwar,TO-TOR,20:22:00
7,Torwar,TO-TOR,20:37:00
8,Torwar,TO-TOR,20:52:00
9,Torwar,TO-TOR,21:07:00
10,Torwar,TO-TOR,21:22:00
2,Torwar,TO-TOR,21:37:00
239,Torwar,TO-TOR,21:52:00
4,Torwar,TO-TOR,22:07:00
237,Torwar,TO-TOR,22:25:00
6,Torwar,TO-TOR,22:55:00
8,Torwar,TO-TOR,23:25:00
