brygada,kierunek,trasa,czas
021,Metro Młociny,TP-MMLZT,06:33:00
022,Metro Młociny,TP-MMLZT,06:45:00
023,Metro Młociny,TP-MMLZT,06:53:00
024,Metro Młociny,TP-MMLZT,07:01:00
021,Metro Młociny,TP-MMLZT,07:09:00
022,Metro Młociny,TP-MMLZT,07:17:00
023,Metro Młociny,TP-MMLZT,07:25:00
024,Metro Młociny,TP-MMLZT,07:33:00
021,Metro Młociny,TP-MMLZT,07:41:00
022,Metro Młociny,TP-MMLZT,07:49:00
023,Metro Młociny,TP-MMLZT,07:57:00
024,Metro Młociny,TP-MMLZT,08:05:00
021,Metro Młociny,TP-MMLZT,08:13:00
022,Metro Młociny,TP-MMLZT,08:21:00
023,Metro Młociny,TP-MMLZT,08:29:00
024,Metro Młociny,TP-MMLZT,08:37:00
021,Metro Młociny,TP-MMLZT,15:17:00
022,Metro Młociny,TP-MMLZT,15:25:00
023,Metro Młociny,TP-MMLZT,15:33:00
024,Metro Młociny,TX-M13ZT,15:41:00
021,Metro Młociny,TP-MMLZT,15:49:00
022,Metro Młociny,TP-MMLZT,15:57:00
023,Metro Młociny,TX-M13ZT,16:05:00
011,Metro Młociny,TP-MMLZT,16:13:00
021,Metro Młociny,TP-MMLZT,16:21:00
022,Metro Młociny,TX-M13ZT,16:29:00
024,Metro Młociny,TP-MMLZT,16:37:00
011,Metro Młociny,TP-MMLZT,16:45:00
021,Metro Młociny,TX-M13ZT,16:53:00
023,Metro Młociny,TP-MMLZT,17:01:00
024,Metro Młociny,TP-MMLZT,17:09:00
011,Metro Młociny,TX-M13ZT,17:17:00
022,Metro Młociny,TP-MMLZT,17:25:00
023,Metro Młociny,TP-MMLZT,17:33:00
024,Metro Młociny,TP-MMLZT,17:41:00
021,ZET ŻOLIBORZ,TZ-TAK4,17:46:00
022,ZET ŻOLIBORZ,TZ-TAK4,17:58:00
023,ZET ŻOLIBORZ,TZ-TAK4,18:04:00
024,ZET ŻOLIBORZ,TZ-TAK4,18:16:00
