brygada,kierunek,trasa,czas
3,Chomiczówka,TP-CHO,04:57:00
5,Chomiczówka,TP-CHO,05:12:00
6,Chomiczówka,TP-CHO,05:27:00
8,Chomiczówka,TP-CHO,05:42:00
10,Chomiczówka,TP-CHO,05:57:00
12,Chomiczówka,TP-CHO,06:12:00
13,Chomiczówka,TP-CHO,06:22:00
14,Chomiczówka,TP-CHO,06:32:00
15,Chomiczówka,TP-CHO,06:42:00
16,Chomiczówka,TP-CHO,06:52:00
17,Chomiczówka,TP-CHO,07:02:00
2,Chomiczówka,TP-CHO,07:12:00
3,Chomiczówka,TP-CHO,07:22:00
4,Chomiczówka,TP-CHO,07:32:00
5,Chomiczówka,TP-CHO,07:42:00
6,Chomiczówka,TP-CHO,07:52:00
7,Chomiczówka,TP-CHO,08:02:00
8,Chomiczówka,TP-CHO,08:12:00
9,Chomiczówka,TP-CHO,08:22:00
10,Chomiczówka,TP-CHO,08:32:00
11,Chomiczówka,TP-CHO,08:42:00
12,Chomiczówka,TP-CHO,08:52:00
13,Chomiczówka,TP-CHO,09:02:00
14,Chomiczówka,TP-CHO,09:12:00
15,Chomiczówka,TP-CHO,09:22:00
737,Chomiczówka,TP-CHO,09:32:00
16,Chomiczówka,TP-CHO,09:42:00
17,Chomiczówka,TP-CHO,09:52:00
431,Chomiczówka,TP-CHO,10:02:00
2,Chomiczówka,TP-CHO,10:12:00
3,Chomiczówka,TP-CHO,10:22:00
4,Chomiczówka,TP-CHO,10:32:00
5,Chomiczówka,TP-CHO,10:42:00
6,Chomiczówka,TP-CHO,10:52:00
7,Chomiczówka,TP-CHO,11:02:00
8,Chomiczówka,TP-CHO,11:12:00
9,Chomiczówka,TP-CHO,11:22:00
10,Chomiczówka,TP-CHO,11:32:00
11,Chomiczówka,TP-CHO,11:42:00
12,Chomiczówka,TP-CHO,11:52:00
13,Chomiczówka,TP-CHO,12:02:00
14,Chomiczówka,TP-CHO,12:12:00
15,Chomiczówka,TP-CHO,12:22:00
16,Chomiczówka,TP-CHO,12:32:00
17,Chomiczówka,TP-CHO,12:42:00
431,Chomiczówka,TP-CHO,12:52:00
2,Chomiczówka,TP-CHO,13:02:00
3,Chomiczówka,TP-CHO,13:12:00
4,Chomiczówka,TP-CHO,13:22:00
5,Chomiczówka,TP-CHO,13:32:00
6,Chomiczówka,TP-CHO,13:42:00
7,Chomiczówka,TP-CHO,13:52:00
8,Chomiczówka,TP-CHO,14:02:00
9,Chomiczówka,TP-CHO,14:12:00
10,Chomiczówka,TP-CHO,14:22:00
11,Chomiczówka,TP-CHO,14:32:00
12,Chomiczówka,TP-CHO,14:42:00
13,Chomiczówka,TP-CHO,14:52:00
14,Chomiczówka,TP-CHO,15:02:00
15,Chomiczówka,TP-CHO,15:12:00
16,Chomiczówka,TP-CHO,15:22:00
17,Chomiczówka,TP-CHO,15:32:00
431,Chomiczówka,TP-CHO,15:42:00
2,Chomiczówka,TP-CHO,15:52:00
3,Chomiczówka,TP-CHO,16:02:00
4,Chomiczówka,TP-CHO,16:12:00
5,Chomiczówka,TP-CHO,16:22:00
6,Chomiczówka,TP-CHO,16:32:00
7,Chomiczówka,TP-CHO,16:42:00
8,Chomiczówka,TP-CHO,16:52:00
9,Chomiczówka,TP-CHO,17:02:00
10,Chomiczówka,TP-CHO,17:12:00
11,Chomiczówka,TP-CHO,17:22:00
12,Chomiczówka,TP-CHO,17:32:00
13,Chomiczówka,TP-CHO,17:42:00
14,Chomiczówka,TP-CHO,17:52:00
15,Chomiczówka,TP-CHO,18:02:00
16,Chomiczówka,TP-CHO,18:12:00
17,Chomiczówka,TP-CHO,18:22:00
431,Chomiczówka,TP-CHO,18:32:00
2,Chomiczówka,TP-CHO,18:42:00
433,Chomiczówka,TP-CHO,18:52:00
3,Chomiczówka,TP-CHO,19:02:00
4,Chomiczówka,TP-CHO,19:12:00
5,Chomiczówka,TP-CHO,19:22:00
6,Chomiczówka,TP-CHO,19:32:00
7,Chomiczówka,TP-CHO,19:42:00
8,Chomiczówka,TP-CHO,19:52:00
9,Chomiczówka,TP-CHO,20:02:00
10,Chomiczówka,TP-CHO,20:12:00
11,Chomiczówka,TP-CHO,20:22:00
12,Chomiczówka,TP-CHO,20:32:00
13,Chomiczówka,TP-CHO,20:42:00
14,Chomiczówka,TP-CHO,20:52:00
15,Chomiczówka,TP-CHO,21:02:00
16,Chomiczówka,TP-CHO,21:12:00
17,Chomiczówka,TP-CHO,21:22:00
431,Chomiczówka,TP-CHO,21:32:00
433,Chomiczówka,TP-CHO,21:42:00
4,Chomiczówka,TP-CHO,21:57:00
6,Chomiczówka,TP-CHO,22:12:00
7,Chomiczówka,TP-CHO,22:27:00
10,Chomiczówka,TP-CHO,22:42:00
11,Chomiczówka,TP-CHO,22:57:00
14,Chomiczówka,TP-CHO,23:27:00
