brygada,kierunek,trasa,czas
2,EC Siekierki,TO-SIE,05:26:00
4,EC Siekierki,TO-SIE,05:51:00
6,EC Siekierki,TO-SIE,06:06:00
7,EC Siekierki,TO-SIE,06:21:00
8,EC Siekierki,TO-SIE,06:36:00
9,EC Siekierki,TO-SIE,06:51:00
1,EC Siekierki,TO-SIE,07:06:00
2,EC Siekierki,TO-SIE,07:22:00
3,EC Siekierki,TO-SIE,07:38:00
4,EC Siekierki,TO-SIE,07:53:00
5,EC Siekierki,TO-SIE,08:08:00
6,EC Siekierki,TO-SIE,08:23:00
7,EC Siekierki,TO-SIE,08:38:00
8,EC Siekierki,TO-SIE,08:53:00
9,EC Siekierki,TO-SIE,09:07:00
1,EC Siekierki,TO-SIE,09:21:00
2,EC Siekierki,TO-SIE,09:36:00
3,EC Siekierki,TO-SIE,09:51:00
4,EC Siekierki,TO-SIE,10:06:00
5,EC Siekierki,TO-SIE,10:21:00
6,EC Siekierki,TO-SIE,10:36:00
7,EC Siekierki,TO-SIE,10:51:00
8,EC Siekierki,TO-SIE,11:06:00
9,EC Siekierki,TO-SIE,11:21:00
1,EC Siekierki,TO-SIE,11:36:00
2,EC Siekierki,TO-SIE,11:51:00
3,EC Siekierki,TO-SIE,12:06:00
4,EC Siekierki,TO-SIE,12:21:00
5,EC Siekierki,TO-SIE,12:36:00
6,EC Siekierki,TO-SIE,12:51:00
7,EC Siekierki,TO-SIE,13:06:00
8,EC Siekierki,TO-SIE,13:21:00
9,EC Siekierki,TO-SIE,13:36:00
1,EC Siekierki,TO-SIE,13:51:00
2,EC Siekierki,TO-SIE,14:06:00
3,EC Siekierki,TO-SIE,14:21:00
4,EC Siekierki,TO-SIE,14:36:00
5,EC Siekierki,TO-SIE,14:51:00
6,EC Siekierki,TO-SIE,15:06:00
7,EC Siekierki,TO-SIE,15:22:00
8,EC Siekierki,TO-SIE,15:38:00
9,EC Siekierki,TO-SIE,15:53:00
1,EC Siekierki,TO-SIE,16:08:00
2,EC Siekierki,TO-SIE,16:23:00
3,EC Siekierki,TO-SIE,16:38:00
4,EC Siekierki,TO-SIE,16:53:00
5,EC Siekierki,TO-SIE,17:08:00
6,EC Siekierki,TO-SIE,17:23:00
7,EC Siekierki,TO-SIE,17:38:00
8,EC Siekierki,TO-SIE,17:53:00
9,EC Siekierki,TO-SIE,18:08:00
1,EC Siekierki,TO-SIE,18:23:00
2,EC Siekierki,TO-SIE,18:38:00
3,EC Siekierki,TO-SIE,18:53:00
4,EC Siekierki,TO-SIE,19:07:00
5,EC Siekierki,TO-SIE,19:21:00
6,EC Siekierki,TO-SIE,19:36:00
7,EC Siekierki,TO-SIE,19:51:00
8,EC Siekierki,TO-SIE,20:06:00
9,EC Siekierki,TO-SIE,20:21:00
1,EC Siekierki,TO-SIE,20:36:00
2,EC Siekierki,TO-SIE,20:51:00
3,EC Siekierki,TO-SIE,21:06:00
5,EC Siekierki,TO-SIE,21:21:00
6,EC Siekierki,TO-SIE,21:36:00
7,EC Siekierki,TO-SIE,21:51:00
8,EC Siekierki,TO-SIE,22:06:00
1,EC Siekierki,TO-SIE,22:26:00
3,Beethovena,TX-BEE,22:56:00
7,Beethovena,TX-BEE,23:26:00
