brygada,kierunek,trasa,czas
1,Dąbrowa Zachodnia,TP-LOZ,05:15:00
2,Dąbrowa Zachodnia,TP-LOZ,05:45:00
04,Dąbrowa Zachodnia,TP-LOZ,06:15:00
1,Dąbrowa Zachodnia,TP-LOZ,06:45:00
2,Dąbrowa Zachodnia,TP-LOZ,07:11:00
3,Dąbrowa Zachodnia,TP-LOZ,07:31:00
04,Dąbrowa Zachodnia,TP-LOZ,07:51:00
1,Dąbrowa Zachodnia,TP-LOZ,08:11:00
2,Dąbrowa Zachodnia,TP-LOZ,08:41:00
3,Dąbrowa Zachodnia,TP-LOZ,09:11:00
1,Dąbrowa Zachodnia,TP-LOZ,09:41:00
2,Dąbrowa Zachodnia,TP-LOZ,10:11:00
3,Dąbrowa Zachodnia,TP-LOZ,10:41:00
1,Dąbrowa Zachodnia,TP-LOZ,11:11:00
2,Dąbrowa Zachodnia,TP-LOZ,11:41:00
3,Dąbrowa Zachodnia,TP-LOZ,12:11:00
1,Dąbrowa Zachodnia,TP-LOZ,12:41:00
2,Dąbrowa Zachodnia,TP-LOZ,13:11:00
3,Dąbrowa Zachodnia,TP-LOZ,13:33:00
1,Dąbrowa Zachodnia,TP-LOZ,13:53:00
04,Dąbrowa Zachodnia,TP-LOZ,14:13:00
2,Dąbrowa Zachodnia,TP-LOZ,14:33:00
3,Dąbrowa Zachodnia,TP-LOZ,14:53:00
1,Dąbrowa Zachodnia,TP-LOZ,15:13:00
04,Dąbrowa Zachodnia,TP-LOZ,15:33:00
2,Dąbrowa Zachodnia,TP-LOZ,15:53:00
3,Dąbrowa Zachodnia,TP-LOZ,16:13:00
1,Dąbrowa Zachodnia,TP-LOZ,16:33:00
04,Dąbrowa Zachodnia,TP-LOZ,16:53:00
2,Dąbrowa Zachodnia,TP-LOZ,17:13:00
3,Dąbrowa Zachodnia,TP-LOZ,17:33:00
1,Dąbrowa Zachodnia,TP-LOZ,17:53:00
04,Dąbrowa Zachodnia,TP-LOZ,18:13:00
2,Dąbrowa Zachodnia,TP-LOZ,18:33:00
3,Dąbrowa Zachodnia,TP-LOZ,19:01:00
1,Dąbrowa Zachodnia,TP-LOZ,19:31:00
2,Dąbrowa Zachodnia,TP-LOZ,20:01:00
3,Dąbrowa Zachodnia,TP-LOZ,20:31:00
1,Dąbrowa Zachodnia,TP-LOZ,21:01:00
2,Dąbrowa Zachodnia,TP-LOZ,21:31:00
3,Dąbrowa Zachodnia,TP-LOZ,22:11:00
2,Dąbrowa Zachodnia,TP-LOZ,22:51:00
3,Dąbrowa Zachodnia,TP-LOZ,23:31:00
