brygada,kierunek,trasa,czas
3,Ursynów Płn.,TP-UPN,05:06:00
06,Ursynów Płn.,TP-UPN,05:31:00
5,Ursynów Płn.,TP-UPN,05:46:00
2,Ursynów Płn.,TP-UPN,06:00:00
3,Ursynów Płn.,TP-UPN,06:15:00
4,Ursynów Płn.,TP-UPN,06:30:00
06,Ursynów Płn.,TP-UPN,06:45:00
5,Ursynów Płn.,TP-UPN,07:00:00
1,Ursynów Płn.,TP-UPN,07:15:00
2,Ursynów Płn.,TP-UPN,07:30:00
3,Ursynów Płn.,TP-UPN,07:45:00
4,Ursynów Płn.,TP-UPN,08:00:00
06,Ursynów Płn.,TP-UPN,08:15:00
5,Ursynów Płn.,TP-UPN,08:30:00
1,Ursynów Płn.,TP-UPN,08:45:00
2,Ursynów Płn.,TP-UPN,09:00:00
3,Ursynów Płn.,TP-UPN,09:15:00
4,Ursynów Płn.,TP-UPN,09:30:00
06,Ursynów Płn.,TP-UPN,09:45:00
5,Ursynów Płn.,TP-UPN,10:00:00
1,Ursynów Płn.,TP-UPN,10:15:00
2,Ursynów Płn.,TP-UPN,10:30:00
3,Ursynów Płn.,TP-UPN,10:45:00
4,Ursynów Płn.,TP-UPN,11:00:00
5,Ursynów Płn.,TP-UPN,11:15:00
1,Ursynów Płn.,TP-UPN,11:30:00
2,Ursynów Płn.,TP-UPN,11:45:00
3,Ursynów Płn.,TP-UPN,12:00:00
4,Ursynów Płn.,TP-UPN,12:15:00
5,Ursynów Płn.,TP-UPN,12:30:00
1,Ursynów Płn.,TP-UPN,12:45:00
2,Ursynów Płn.,TP-UPN,13:00:00
3,Ursynów Płn.,TP-UPN,13:15:00
4,Ursynów Płn.,TP-UPN,13:30:00
06,Ursynów Płn.,TP-UPN,13:45:00
5,Ursynów Płn.,TP-UPN,14:00:00
1,Ursynów Płn.,TP-UPN,14:15:00
2,Ursynów Płn.,TP-UPN,14:30:00
3,Ursynów Płn.,TP-UPN,14:45:00
4,Ursynów Płn.,TP-UPN,15:00:00
06,Ursynów Płn.,TP-UPN,15:15:00
5,Ursynów Płn.,TP-UPN,15:30:00
1,Ursynów Płn.,TP-UPN,15:45:00
2,Ursynów Płn.,TP-UPN,16:00:00
3,Ursynów Płn.,TP-UPN,16:15:00
4,Ursynów Płn.,TP-UPN,16:30:00
06,Ursynów Płn.,TP-UPN,16:45:00
5,Ursynów Płn.,TP-UPN,17:00:00
1,Ursynów Płn.,TP-UPN,17:15:00
2,Ursynów Płn.,TP-UPN,17:30:00
3,Ursynów Płn.,TP-UPN,17:45:00
4,Ursynów Płn.,TP-UPN,18:00:00
06,Ursynów Płn.,TP-UPN,18:15:00
5,Ursynów Płn.,TP-UPN,18:30:00
1,Ursynów Płn.,TP-UPN,18:45:00
2,Ursynów Płn.,TP-UPN,19:00:00
3,Ursynów Płn.,TP-UPN,19:15:00
4,Ursynów Płn.,TP-UPN,19:30:00
5,Ursynów Płn.,TP-UPN,19:45:00
1,Ursynów Płn.,TP-UPN,20:00:00
2,Ursynów Płn.,TP-UPN,20:15:00
3,Ursynów Płn.,TP-UPN,20:30:00
4,Ursynów Płn.,TP-UPN,20:45:00
5,Ursynów Płn.,TP-UPN,21:01:00
1,Ursynów Płn.,TP-UPN,21:16:00
2,Ursynów Płn.,TP-UPN,21:31:00
3,Ursynów Płn.,TP-UPN,21:51:00
4,Ursynów Płn.,TP-UPN,22:11:00
1,Ursynów Płn.,TP-UPN,22:36:00
3,Ursynów Płn.,TP-UPN,23:06:00
