brygada,kierunek,trasa,czas
01,Metro Ratusz-Arsenał,TP-MRA,06:13:00
03,Metro Ratusz-Arsenał,TP-MRA,06:33:00
05,Metro Ratusz-Arsenał,TP-MRA,06:53:00
06,Metro Ratusz-Arsenał,TP-MRA,07:03:00
07,Metro Ratusz-Arsenał,TP-MRA,07:13:00
08,Metro Ratusz-Arsenał,TP-MRA,07:23:00
09,Metro Ratusz-Arsenał,TP-MRA,07:33:00
01,Metro Ratusz-Arsenał,TP-MRA,07:43:00
02,pl.Bankowy,TX-BAN2,07:53:00
03,Metro Ratusz-Arsenał,TP-MRA,08:03:00
04,pl.Bankowy,TX-BAN2,08:13:00
05,Metro Ratusz-Arsenał,TP-MRA,08:23:00
06,pl.Bankowy,TX-BAN4,08:33:00
07,pl.Bankowy,TX-BAN4,08:43:00
08,pl.Bankowy,TX-BAN4,08:53:00
09,pl.Bankowy,TX-BAN2,09:03:00
01,Metro Ratusz-Arsenał,TP-MRA,09:13:00
05,Metro Ratusz-Arsenał,TP-MRA,15:23:00
01,Metro Ratusz-Arsenał,TP-MRA,15:43:00
02,Metro Ratusz-Arsenał,TP-MRA,16:03:00
03,Metro Ratusz-Arsenał,TP-MRA,16:23:00
06,Metro Ratusz-Arsenał,TP-MRA,16:43:00
05,Metro Ratusz-Arsenał,TP-MRA,17:03:00
01,Metro Ratusz-Arsenał,TP-MRA,17:23:00
02,pl.Bankowy,TX-BAN2,17:43:00
