brygada,kierunek,trasa,czas
2,EC Siekierki,TO-SIE,05:28:00
4,EC Siekierki,TO-SIE,05:53:00
6,EC Siekierki,TO-SIE,06:08:00
7,EC Siekierki,TO-SIE,06:23:00
8,EC Siekierki,TO-SIE,06:38:00
9,EC Siekierki,TO-SIE,06:53:00
1,EC Siekierki,TO-SIE,07:08:00
2,EC Siekierki,TO-SIE,07:24:00
3,EC Siekierki,TO-SIE,07:40:00
4,EC Siekierki,TO-SIE,07:55:00
5,EC Siekierki,TO-SIE,08:10:00
6,EC Siekierki,TO-SIE,08:25:00
7,EC Siekierki,TO-SIE,08:40:00
8,EC Siekierki,TO-SIE,08:55:00
9,EC Siekierki,TO-SIE,09:09:00
1,EC Siekierki,TO-SIE,09:23:00
2,EC Siekierki,TO-SIE,09:38:00
3,EC Siekierki,TO-SIE,09:53:00
4,EC Siekierki,TO-SIE,10:08:00
5,EC Siekierki,TO-SIE,10:23:00
6,EC Siekierki,TO-SIE,10:38:00
7,EC Siekierki,TO-SIE,10:53:00
8,EC Siekierki,TO-SIE,11:08:00
9,EC Siekierki,TO-SIE,11:23:00
1,EC Siekierki,TO-SIE,11:38:00
2,EC Siekierki,TO-SIE,11:53:00
3,EC Siekierki,TO-SIE,12:08:00
4,EC Siekierki,TO-SIE,12:23:00
5,EC Siekierki,TO-SIE,12:38:00
6,EC Siekierki,TO-SIE,12:53:00
7,EC Siekierki,TO-SIE,13:08:00
8,EC Siekierki,TO-SIE,13:23:00
9,EC Siekierki,TO-SIE,13:38:00
1,EC Siekierki,TO-SIE,13:53:00
2,EC Siekierki,TO-SIE,14:08:00
3,EC Siekierki,TO-SIE,14:23:00
4,EC Siekierki,TO-SIE,14:38:00
5,EC Siekierki,TO-SIE,14:53:00
6,EC Siekierki,TO-SIE,15:08:00
7,EC Siekierki,TO-SIE,15:24:00
8,EC Siekierki,TO-SIE,15:40:00
9,EC Siekierki,TO-SIE,15:55:00
1,EC Siekierki,TO-SIE,16:10:00
2,EC Siekierki,TO-SIE,16:25:00
3,EC Siekierki,TO-SIE,16:40:00
4,EC Siekierki,TO-SIE,16:55:00
5,EC Siekierki,TO-SIE,17:10:00
6,EC Siekierki,TO-SIE,17:25:00
7,EC Siekierki,TO-SIE,17:40:00
8,EC Siekierki,TO-SIE,17:55:00
9,EC Siekierki,TO-SIE,18:10:00
1,EC Siekierki,TO-SIE,18:25:00
2,EC Siekierki,TO-SIE,18:40:00
3,EC Siekierki,TO-SIE,18:55:00
4,EC Siekierki,TO-SIE,19:09:00
5,EC Siekierki,TO-SIE,19:23:00
6,EC Siekierki,TO-SIE,19:38:00
7,EC Siekierki,TO-SIE,19:53:00
8,EC Siekierki,TO-SIE,20:08:00
9,EC Siekierki,TO-SIE,20:23:00
1,EC Siekierki,TO-SIE,20:38:00
2,EC Siekierki,TO-SIE,20:53:00
3,EC Siekierki,TO-SIE,21:08:00
5,EC Siekierki,TO-SIE,21:23:00
6,EC Siekierki,TO-SIE,21:38:00
7,EC Siekierki,TO-SIE,21:53:00
8,EC Siekierki,TO-SIE,22:08:00
1,EC Siekierki,TO-SIE,22:28:00
3,Beethovena,TX-BEE,22:58:00
7,Beethovena,TX-BEE,23:28:00
