brygada,kierunek,trasa,czas
01,Metro Ratusz-Arsenał,TP-MRA,06:12:00
03,Metro Ratusz-Arsenał,TP-MRA,06:32:00
05,Metro Ratusz-Arsenał,TP-MRA,06:52:00
06,Metro Ratusz-Arsenał,TP-MRA,07:02:00
07,Metro Ratusz-Arsenał,TP-MRA,07:12:00
08,Metro Ratusz-Arsenał,TP-MRA,07:22:00
09,Metro Ratusz-Arsenał,TP-MRA,07:32:00
01,Metro Ratusz-Arsenał,TP-MRA,07:42:00
02,pl.Bankowy,TX-BAN2,07:52:00
03,Metro Ratusz-Arsenał,TP-MRA,08:02:00
04,pl.Bankowy,TX-BAN2,08:12:00
05,Metro Ratusz-Arsenał,TP-MRA,08:22:00
06,pl.Bankowy,TX-BAN4,08:32:00
07,pl.Bankowy,TX-BAN4,08:42:00
08,pl.Bankowy,TX-BAN4,08:52:00
09,pl.Bankowy,TX-BAN2,09:02:00
01,Metro Ratusz-Arsenał,TP-MRA,09:12:00
05,Metro Ratusz-Arsenał,TP-MRA,15:22:00
01,Metro Ratusz-Arsenał,TP-MRA,15:42:00
02,Metro Ratusz-Arsenał,TP-MRA,16:02:00
03,Metro Ratusz-Arsenał,TP-MRA,16:22:00
06,Metro Ratusz-Arsenał,TP-MRA,16:42:00
05,Metro Ratusz-Arsenał,TP-MRA,17:02:00
01,Metro Ratusz-Arsenał,TP-MRA,17:22:00
02,pl.Bankowy,TX-BAN2,17:42:00
