brygada,kierunek,trasa,czas
685,Rynek,TP-GKR,05:07:00
03,Rynek,TP-GKR,05:50:00
2,Rynek,TP-GKR,06:25:00
685,Rynek,TP-GKR,07:00:00
03,PKP Zalesie Górne,TP-ZAL,07:55:00
2,Rynek,TP-GKR,08:57:00
685,PKP Zalesie Górne,TP-ZAL,09:57:00
685,PKP Zalesie Górne,TP-ZAL,10:57:00
2,Rynek,TP-GKR,12:57:00
685,PKP Zalesie Górne,TP-ZAL,13:32:00
04,Rynek,TP-GKR,14:07:00
2,Rynek,TP-GKR,15:07:00
685,PKP Zalesie Górne,TP-ZAL,15:42:00
03,Rynek,TP-GKR,16:07:00
04,PKP Zalesie Górne,TP-ZAL,16:42:00
685,Rynek,TP-GKR,17:12:00
2,PKP Zalesie Górne,TP-ZAL,17:42:00
04,Rynek,TP-GKR,18:07:00
2,Rynek,TP-GKR,19:07:00
685,PKP Zalesie Górne,TP-ZAL,20:07:00
685,Rynek,TP-GKR,21:32:00
683,Rynek,TP-GKR,22:42:00
