brygada,kierunek,trasa,czas
7,Nowe Włochy,TP-WLO,05:33:00
1,Nowe Włochy,TP-WLO,06:03:00
3,Nowe Włochy,TP-WLO,06:35:00
4,Nowe Włochy,TP-WLO,06:55:00
5,Nowe Włochy,TP-WLO,07:10:00
7,Nowe Włochy,TP-WLO,07:27:00
8,Nowe Włochy,TP-WLO,07:45:00
9,Nowe Włochy,TP-WLO,08:02:00
1,Nowe Włochy,TP-WLO,08:18:00
2,Nowe Włochy,TP-WLO,08:33:00
3,Nowe Włochy,TP-WLO,08:48:00
4,Nowe Włochy,TP-WLO,09:03:00
5,Nowe Włochy,TP-WLO,09:17:00
6,Nowe Włochy,TP-WLO,09:31:00
7,Nowe Włochy,TP-WLO,09:45:00
8,Nowe Włochy,TP-WLO,10:00:00
9,Nowe Włochy,TP-WLO,10:15:00
1,Nowe Włochy,TP-WLO,10:30:00
2,Nowe Włochy,TP-WLO,10:45:00
3,Nowe Włochy,TP-WLO,11:00:00
4,Nowe Włochy,TP-WLO,11:15:00
5,Nowe Włochy,TP-WLO,11:30:00
6,Nowe Włochy,TP-WLO,11:45:00
7,Nowe Włochy,TP-WLO,12:00:00
8,Nowe Włochy,TP-WLO,12:15:00
9,Nowe Włochy,TP-WLO,12:30:00
1,Nowe Włochy,TP-WLO,12:45:00
2,Nowe Włochy,TP-WLO,13:00:00
3,Nowe Włochy,TP-WLO,13:15:00
4,Nowe Włochy,TP-WLO,13:30:00
5,Nowe Włochy,TP-WLO,13:45:00
6,Nowe Włochy,TP-WLO,14:00:00
7,Nowe Włochy,TP-WLO,14:15:00
8,Nowe Włochy,TP-WLO,14:30:00
9,Nowe Włochy,TP-WLO,14:45:00
1,Nowe Włochy,TP-WLO,15:00:00
2,Nowe Włochy,TP-WLO,15:17:00
3,Nowe Włochy,TP-WLO,15:34:00
4,Nowe Włochy,TP-WLO,15:48:00
5,Nowe Włochy,TP-WLO,16:03:00
010,Nowe Włochy,TP-WLO,16:18:00
6,Nowe Włochy,TP-WLO,16:33:00
7,Nowe Włochy,TP-WLO,16:48:00
8,Nowe Włochy,TP-WLO,17:03:00
9,Nowe Włochy,TP-WLO,17:18:00
1,Nowe Włochy,TP-WLO,17:33:00
2,Nowe Włochy,TP-WLO,17:48:00
3,Nowe Włochy,TP-WLO,18:03:00
4,Nowe Włochy,TP-WLO,18:18:00
5,Nowe Włochy,TP-WLO,18:33:00
010,Nowe Włochy,TP-WLO,18:48:00
6,Nowe Włochy,TP-WLO,19:03:00
7,Nowe Włochy,TP-WLO,19:16:00
8,Nowe Włochy,TP-WLO,19:28:00
9,Nowe Włochy,TP-WLO,19:43:00
2,Nowe Włochy,TP-WLO,19:58:00
3,Nowe Włochy,TP-WLO,20:13:00
4,Nowe Włochy,TP-WLO,20:28:00
5,Nowe Włochy,TP-WLO,20:43:00
010,Nowe Włochy,TP-WLO,20:58:00
6,Nowe Włochy,TP-WLO,21:12:00
7,Nowe Włochy,TP-WLO,21:26:00
8,Nowe Włochy,TP-WLO,21:40:00
9,Nowe Włochy,TP-WLO,21:55:00
2,Nowe Włochy,TP-WLO,22:10:00
4,Nowe Włochy,TP-WLO,22:26:00
5,Nowe Włochy,TP-WLO,22:45:00
7,Nowe Włochy,TP-WLO,23:05:00
8,Nowe Włochy,TP-WLO,23:33:00
