brygada,kierunek,trasa,czas
01,Gocław,TP-GOC,06:25:00
02,Gocław,TP-GOC,06:35:00
03,Gocław,TP-GOC,06:45:00
04,Gocław,TP-GOC,06:55:00
05,Gocław,TP-GOC,07:05:00
01,Gocław,TP-GOC,07:15:00
02,Gocław,TP-GOC,07:25:00
03,Gocław,TP-GOC,07:35:00
04,Gocław,TP-GOC,07:45:00
05,Gocław,TP-GOC,07:55:00
01,Gocław,TP-GOC,08:05:00
02,Gocław,TP-GOC,08:15:00
03,Gocław,TP-GOC,08:25:00
04,Gocław,TP-GOC,08:35:00
05,Gocław,TP-GOC,08:45:00
01,Gocław,TP-GOC,14:23:00
02,Gocław,TP-GOC,14:33:00
03,Gocław,TP-GOC,14:43:00
04,Gocław,TP-GOC,14:53:00
05,Gocław,TP-GOC,15:03:00
01,Gocław,TP-GOC,15:13:00
02,Gocław,TP-GOC,15:23:00
03,Gocław,TP-GOC,15:33:00
04,Gocław,TP-GOC,15:43:00
05,Gocław,TP-GOC,15:53:00
01,Gocław,TP-GOC,16:03:00
02,Gocław,TP-GOC,16:13:00
03,Gocław,TP-GOC,16:23:00
04,Gocław,TP-GOC,16:33:00
05,Gocław,TP-GOC,16:43:00
01,Gocław,TP-GOC,16:53:00
02,Gocław,TP-GOC,17:03:00
03,Gocław,TP-GOC,17:13:00
04,Gocław,TP-GOC,17:23:00
05,Gocław,TP-GOC,17:33:00
01,Gocław,TP-GOC,17:43:00
02,Gocław,TP-GOC,17:53:00
03,Gocław,TP-GOC,18:03:00
04,Gocław,TP-GOC,18:13:00
05,Gocław,TP-GOC,18:23:00
