brygada,kierunek,trasa,czas
1,Falenica,TP-FAL,04:57:00
2,Falenica,TP-FAL,05:12:00
6,Falenica,TP-FAL,05:27:00
3,Falenica,TP-FAL,05:41:00
4,Falenica,TP-FAL,05:54:00
08,Falenica,TP-FAL,06:03:00
09,Falenica,TP-FAL,06:13:00
5,Falenica,TP-FAL-S,06:23:00
010,Falenica,TP-FAL,06:33:00
6,Falenica,TP-FAL,06:45:00
012,Falenica,TP-FAL-S,06:55:00
07,Falenica,TP-FAL,07:10:00
1,Falenica,TP-FAL-S,07:20:00
08,Falenica,TP-FAL,07:30:00
09,Falenica,TP-FAL,07:40:00
2,Falenica,TP-FAL-S,07:50:00
010,Falenica,TP-FAL,08:00:00
3,Falenica,TP-FAL-S,08:10:00
012,Falenica,TP-FAL,08:20:00
4,Falenica,TP-FAL-S,08:35:00
08,Falenica,TP-FAL,08:50:00
5,Falenica,TP-FAL-S,09:05:00
6,Falenica,TP-FAL-S,09:34:00
1,Falenica,TP-FAL-S,10:04:00
2,Falenica,TP-FAL-S,10:34:00
3,Falenica,TP-FAL-S,11:04:00
4,Falenica,TP-FAL-S,11:34:00
5,Falenica,TP-FAL-S,12:04:00
6,Falenica,TP-FAL-S,12:34:00
1,Falenica,TP-FAL-S,13:04:00
011,Falenica,TP-FAL,13:19:00
2,Falenica,TP-FAL-S,13:34:00
07,Falenica,TP-FAL,13:49:00
3,Falenica,TP-FAL-S,14:04:00
08,Falenica,TP-FAL,14:14:00
09,Falenica,TP-FAL,14:24:00
4,Falenica,TP-FAL-S,14:34:00
010,Falenica,TP-FAL,14:44:00
011,Falenica,TP-FAL,14:54:00
5,Falenica,TP-FAL-S,15:04:00
012,Falenica,TP-FAL,15:15:00
07,Falenica,TP-FAL,15:25:00
6,Falenica,TP-FAL-S,15:36:00
08,Falenica,TP-FAL,15:47:00
09,Falenica,TP-FAL,15:57:00
1,Falenica,TP-FAL-S,16:06:00
010,Falenica,TP-FAL,16:17:00
011,Falenica,TP-FAL,16:27:00
2,Falenica,TP-FAL-S,16:36:00
012,Falenica,TP-FAL,16:47:00
07,Falenica,TP-FAL,16:57:00
3,Falenica,TP-FAL-S,17:06:00
08,Falenica,TP-FAL,17:17:00
09,Falenica,TP-FAL,17:27:00
4,Falenica,TP-FAL-S,17:36:00
010,Falenica,TP-FAL,17:47:00
011,Falenica,TP-FAL,17:57:00
5,Falenica,TP-FAL-S,18:06:00
012,Falenica,TP-FAL,18:17:00
07,Falenica,TP-FAL,18:27:00
6,Falenica,TP-FAL-S,18:35:00
08,Falenica,TP-FAL,18:47:00
09,Falenica,TP-FAL,18:57:00
1,Falenica,TP-FAL-S,19:05:00
010,Falenica,TP-FAL,19:17:00
011,Falenica,TP-FAL,19:27:00
2,Falenica,TP-FAL-S,19:34:00
012,Falenica,TP-FAL,19:45:00
07,Falenica,TP-FAL,19:55:00
3,Falenica,TP-FAL-S,20:04:00
4,Falenica,TP-FAL-S,20:36:00
6,Falenica,TP-FAL-S,21:06:00
1,Falenica,TP-FAL-S,21:35:00
2,Falenica,TP-FAL-S,22:05:00
3,Falenica,TP-FAL-S,22:35:00
4,Falenica,TP-FAL-S,23:05:00
