brygada,kierunek,trasa,czas
12,Sadyba,TP-SAD,05:16:00
016,Wilanów,TP-WLW,05:31:00
015,Sadyba,TP-SAD,05:46:00
3,Wilanów,TP-WLW,06:01:00
5,Sadyba,TP-SAD,06:15:00
12,Sadyba,TP-SAD,06:25:00
10,Wilanów,TP-WLW,06:35:00
9,Sadyba,TP-SAD,06:42:00
014,Sadyba,TP-SAD,06:50:00
11,Sadyba,TP-SAD,06:57:00
015,Wilanów,TP-WLW,07:05:00
016,Sadyba,TP-SAD,07:12:00
2,Sadyba,TP-SAD,07:18:00
4,Sadyba,TP-SAD,07:24:00
6,Wilanów,TP-WLW,07:30:00
5,Sadyba,TP-SAD,07:37:00
3,Sadyba,TP-SAD,07:43:00
12,Wilanów,TP-WLW,07:49:00
8,Sadyba,TP-SAD,07:55:00
9,Sadyba,TP-SAD,08:01:00
7,Sadyba,TP-SAD,08:07:00
014,Wilanów,TP-WLW,08:13:00
10,Sadyba,TP-SAD,08:19:00
13,Sadyba,TP-SAD,08:25:00
11,Sadyba,TP-SAD,08:31:00
1,Wilanów,TP-WLW,08:37:00
016,Sadyba,TP-SAD,08:43:00
015,Sadyba,TP-SAD,08:49:00
2,Sadyba,TP-SAD,08:55:00
4,Sadyba,TP-SAD,09:01:00
5,Wilanów,TP-WLW,09:07:00
3,Sadyba,TP-SAD,09:13:00
6,Sadyba,TP-SAD,09:21:00
8,Sadyba,TP-SAD,09:28:00
9,Wilanów,TP-WLW,09:36:00
7,Sadyba,TP-SAD,09:43:00
10,Sadyba,TP-SAD,09:51:00
12,Sadyba,TP-SAD,09:58:00
13,Wilanów,TP-WLW,10:06:00
11,Sadyba,TP-SAD,10:13:00
1,Sadyba,TP-SAD,10:21:00
2,Sadyba,TP-SAD,10:28:00
4,Wilanów,TP-WLW,10:36:00
3,Sadyba,TP-SAD,10:43:00
5,Sadyba,TP-SAD,10:51:00
6,Sadyba,TP-SAD,10:58:00
8,Wilanów,TP-WLW,11:06:00
7,Sadyba,TP-SAD,11:14:00
9,Sadyba,TP-SAD,11:21:00
10,Sadyba,TP-SAD,11:28:00
12,Wilanów,TP-WLW,11:36:00
11,Sadyba,TP-SAD,11:43:00
13,Sadyba,TP-SAD,11:51:00
1,Sadyba,TP-SAD,11:58:00
2,Wilanów,TP-WLW,12:06:00
3,Sadyba,TP-SAD,12:13:00
4,Sadyba,TP-SAD,12:21:00
5,Sadyba,TP-SAD,12:28:00
