brygada,kierunek,trasa,czas
1,CH Blue City,TO-BLC,04:45:00
3,CH Blue City,TO-BLC,05:09:00
4,CH Blue City,TO-BLC,05:26:00
5,CH Blue City,TO-BLC,05:41:00
011,CH Blue City,TO-BLC,05:52:00
7,CH Blue City,TO-BLC,06:02:00
8,CH Blue City,TO-BLC,06:13:00
9,CH Blue City,TO-BLC,06:25:00
1,CH Blue City,TO-BLC,06:36:00
2,CH Blue City,TO-BLC,06:46:00
3,CH Blue City,TO-BLC,06:56:00
010,CH Blue City,TO-BLC,07:06:00
4,CH Blue City,TO-BLC,07:17:00
5,CH Blue City,TO-BLC,07:29:00
011,CH Blue City,TO-BLC,07:39:00
6,CH Blue City,TO-BLC,07:51:00
7,CH Blue City,TO-BLC,08:01:00
8,CH Blue City,TO-BLC,08:16:00
9,CH Blue City,TO-BLC,08:30:00
1,CH Blue City,TO-BLC,08:45:00
2,CH Blue City,TO-BLC,09:00:00
3,CH Blue City,TO-BLC,09:10:00
010,ZEA KLESZCZOWA,TZ-STE1,09:22:00
4,CH Blue City,TO-BLC,09:37:00
5,CH Blue City,TO-BLC,09:52:00
6,CH Blue City,TO-BLC,10:07:00
7,CH Blue City,TO-BLC,10:22:00
8,CH Blue City,TO-BLC,10:37:00
9,CH Blue City,TO-BLC,10:52:00
1,CH Blue City,TO-BLC,11:07:00
2,CH Blue City,TO-BLC,11:22:00
3,CH Blue City,TO-BLC,11:37:00
4,CH Blue City,TO-BLC,11:52:00
5,CH Blue City,TO-BLC,12:07:00
6,CH Blue City,TO-BLC,12:22:00
7,CH Blue City,TO-BLC,12:37:00
8,CH Blue City,TO-BLC,12:52:00
9,CH Blue City,TO-BLC,13:07:00
1,CH Blue City,TO-BLC,13:22:00
2,CH Blue City,TO-BLC,13:37:00
3,CH Blue City,TO-BLC,13:52:00
4,CH Blue City,TO-BLC,14:07:00
5,CH Blue City,TO-BLC,14:22:00
6,CH Blue City,TO-BLC,14:37:00
7,CH Blue City,TO-BLC,14:52:00
8,CH Blue City,TO-BLC,15:07:00
9,CH Blue City,TO-BLC,15:22:00
1,CH Blue City,TO-BLC,15:37:00
2,CH Blue City,TO-BLC,15:52:00
3,CH Blue City,TO-BLC,16:07:00
010,CH Blue City,TO-BLC,16:22:00
4,CH Blue City,TO-BLC,16:37:00
5,CH Blue City,TO-BLC,16:52:00
6,CH Blue City,TO-BLC,17:07:00
7,CH Blue City,TO-BLC,17:22:00
8,CH Blue City,TO-BLC,17:37:00
9,CH Blue City,TO-BLC,17:52:00
1,CH Blue City,TO-BLC,18:07:00
2,CH Blue City,TO-BLC,18:22:00
3,CH Blue City,TO-BLC,18:37:00
010,ZEA KLESZCZOWA,TZ-STE1,18:52:00
4,CH Blue City,TO-BLC,19:07:00
5,CH Blue City,TO-BLC,19:22:00
6,CH Blue City,TO-BLC,19:37:00
7,CH Blue City,TO-BLC,19:52:00
8,CH Blue City,TO-BLC,20:07:00
9,CH Blue City,TO-BLC,20:26:00
2,ZEA KLESZCZOWA,TZ-STE1,20:41:00
3,CH Blue City,TO-BLC,20:56:00
4,ZEA KLESZCZOWA,TZ-STE1,21:12:00
5,CH Blue City,TO-BLC,21:30:00
6,CH Blue City,TO-BLC,21:50:00
7,ZEA KLESZCZOWA,TZ-STE1,22:10:00
9,CH Blue City,TO-BLC,22:30:00
3,CH Blue City,TO-BLC,22:50:00
5,ZEA KLESZCZOWA,TZ-STE1,23:15:00
6,ZEA KLESZCZOWA,TZ-STE1,23:45:00
