brygada,kierunek,trasa,czas
2,pl.Jana Pawła II,TO-ZJP,04:40:00
1,pl.Jana Pawła II,TO-ZJP,05:20:00
3,pl.Jana Pawła II,TO-ZJP,05:54:00
2,pl.Jana Pawła II,TO-ZJP,06:29:00
1,pl.Jana Pawła II,TO-ZJP,07:10:00
3,pl.Jana Pawła II,TO-ZJP,07:30:00
2,pl.Jana Pawła II,TO-ZJP,08:15:00
1,pl.Jana Pawła II,TO-ZJP,08:59:00
3,pl.Jana Pawła II,TO-ZJP,09:40:00
2,pl.Jana Pawła II,TO-ZJP,10:30:00
1,pl.Jana Pawła II,TO-ZJP,11:20:00
3,pl.Jana Pawła II,TO-ZJP,12:20:00
2,pl.Jana Pawła II,TO-ZJP,13:20:00
1,pl.Jana Pawła II,TO-ZJP,14:00:00
3,pl.Jana Pawła II,TO-ZJP,14:40:00
2,pl.Jana Pawła II,TO-ZJP,15:20:00
1,pl.Jana Pawła II,TO-ZJP,16:00:00
3,pl.Jana Pawła II,TO-ZJP,16:41:00
2,pl.Jana Pawła II,TO-ZJP,17:21:00
