brygada,kierunek,trasa,czas
2,Metro Marymont,TO-MMA,05:03:00
3,Metro Marymont,TO-MMA,05:23:00
4,Metro Marymont,TO-MMA,05:43:00
06,Metro Marymont,TO-MMA,06:02:00
5,Metro Marymont,TO-MMA,06:22:00
07,Metro Marymont,TO-MMA,06:42:00
1,Metro Marymont,TO-MMA,07:02:00
2,Metro Marymont,TO-MMA,07:22:00
3,Metro Marymont,TO-MMA,07:42:00
4,Metro Marymont,TO-MMA,08:02:00
06,Metro Marymont,TO-MMA,08:22:00
5,Metro Marymont,TO-MMA,08:42:00
07,Metro Marymont,TO-MMA,09:02:00
1,Metro Marymont,TO-MMA,09:32:00
2,Metro Marymont,TO-MMA,10:02:00
3,Metro Marymont,TO-MMA,10:32:00
4,Metro Marymont,TO-MMA,11:02:00
5,Metro Marymont,TO-MMA,11:32:00
1,Metro Marymont,TO-MMA,12:02:00
2,Metro Marymont,TO-MMA,12:32:00
3,Metro Marymont,TO-MMA,13:02:00
4,Metro Marymont,TO-MMA,13:32:00
5,Metro Marymont,TO-MMA,14:02:00
1,Metro Marymont,TO-MMA,14:32:00
2,Metro Marymont,TO-MMA,14:59:00
3,Metro Marymont,TO-MMA,15:19:00
4,Metro Marymont,TO-MMA,15:39:00
06,Metro Marymont,TO-MMA,15:59:00
5,Metro Marymont,TO-MMA,16:20:00
07,Metro Marymont,TO-MMA,16:40:00
1,Metro Marymont,TO-MMA,17:00:00
2,Metro Marymont,TO-MMA,17:20:00
3,Metro Marymont,TO-MMA,17:40:00
4,Metro Marymont,TO-MMA,18:00:00
06,Metro Marymont,TO-MMA,18:20:00
5,Metro Marymont,TO-MMA,18:40:00
07,Metro Marymont,TO-MMA,19:03:00
1,Metro Marymont,TO-MMA,19:33:00
2,Frachtowa,TX-FRA,20:03:00
3,Frachtowa,TX-FRA,20:32:00
4,Frachtowa,TX-FRA,21:02:00
5,Frachtowa,TX-FRA,21:31:00
