brygada,kierunek,trasa,czas
2,Kępa Zawadowska,TX-KEPW1,05:11:00
3,Kępa Zawadowska,TX-KEP,05:41:00
1,Kępa Zawadowska,TX-KEP,06:12:00
2,Kępa Zawadowska,TX-KEP,06:42:00
05,Kępa Zawadowska,TP-KEPW,06:57:00
3,Kępa Zawadowska,TX-KEP,07:13:00
04,Kępa Zawadowska,TP-KEPW,07:28:00
1,Kępa Zawadowska,TX-KEP,07:44:00
05,Kępa Zawadowska,TP-KEPWP,08:01:00
2,Kępa Zawadowska,TX-KEP,08:14:00
04,Kępa Zawadowska,TP-KEPW,08:29:00
3,Kępa Zawadowska,TP-KEP,08:44:00
1,Kępa Zawadowska,TX-KEP,09:13:00
2,Kępa Zawadowska,TP-KEP,09:43:00
3,Kępa Zawadowska,TX-KEP,10:13:00
1,Kępa Zawadowska,TP-KEP,10:43:00
2,Kępa Zawadowska,TP-KEP,11:13:00
3,Kępa Zawadowska,TX-KEP,11:43:00
1,Kępa Zawadowska,TP-KEP-P,12:16:00
2,Kępa Zawadowska,TP-KEP,12:43:00
3,Kępa Zawadowska,TP-KEPCP,13:16:00
1,Kępa Zawadowska,TP-KEP,13:43:00
2,Kępa Zawadowska,TP-KEPCP,14:16:00
3,Kępa Zawadowska,TP-KEP,14:43:00
1,Kępa Zawadowska,TP-KEPCP,15:16:00
05,Kępa Zawadowska,TP-KEPW,15:29:00
2,Kępa Zawadowska,TP-KEP-C,15:44:00
04,Kępa Zawadowska,TP-KEPWP,16:01:00
3,Kępa Zawadowska,TP-KEP-C,16:14:00
05,Kępa Zawadowska,TP-KEPW,16:29:00
1,Kępa Zawadowska,TP-KEP-C,16:44:00
04,Kępa Zawadowska,TP-KEPW,16:59:00
2,Kępa Zawadowska,TP-KEP-C,17:14:00
05,Kępa Zawadowska,TP-KEPW,17:29:00
3,Kępa Zawadowska,TP-KEP-C,17:44:00
04,Kępa Zawadowska,TP-KEPW,17:59:00
1,Kępa Zawadowska,TP-KEP-C,18:14:00
05,Kępa Zawadowska,TP-KEPW,18:29:00
2,Kępa Zawadowska,TP-KEP-C,18:44:00
04,Kępa Zawadowska,TP-KEPW,18:59:00
3,Kępa Zawadowska,TP-KEP-C,19:12:00
05,Kępa Zawadowska,TP-KEPW,19:27:00
1,Kępa Zawadowska,TP-KEP-C,19:42:00
2,Kępa Zawadowska,TP-KEP-C,20:12:00
3,Kępa Zawadowska,TP-KEP,20:42:00
1,Kępa Zawadowska,TP-KEP-C,21:11:00
2,Kępa Zawadowska,TP-KEP,21:41:00
3,Kępa Zawadowska,TP-KEP-C,22:11:00
1,Kępa Zawadowska,TP-KEP,22:41:00
2,Kępa Zawadowska,TP-KEP-C,23:11:00
3,Kępa Zawadowska,TP-KEP,23:41:00
3,Kępa Zawadowska,TP-KEPW,24:11:00
3,Kępa Zawadowska,TP-KEPW,25:11:00
