brygada,kierunek,trasa,czas
62,Ogród Botaniczny,TP-OGB,05:03:00
066,Ogród Botaniczny,TP-OGB,05:33:00
62,Ogród Botaniczny,TP-OGB,06:13:00
066,Ogród Botaniczny,TP-OGB,06:53:00
65,Ogród Botaniczny,TP-OGB,07:23:00
63,Ogród Botaniczny,TP-OGB,08:03:00
64,Ogród Botaniczny,TP-OGB,08:43:00
61,Ogród Botaniczny,TP-OGB,09:23:00
62,Ogród Botaniczny,TP-OGB,10:03:00
61,Ogród Botaniczny,TP-OGB,10:43:00
62,Ogród Botaniczny,TP-OGB,11:23:00
61,Ogród Botaniczny,TP-OGB,12:03:00
62,Ogród Botaniczny,TP-OGB,12:43:00
65,Ogród Botaniczny,TP-OGB,13:23:00
63,Ogród Botaniczny,TP-OGB,14:03:00
64,Ogród Botaniczny,TP-OGB,14:33:00
066,Ogród Botaniczny,TP-OGB,15:13:00
61,Ogród Botaniczny,TP-OGB,15:53:00
62,Ogród Botaniczny,TP-OGB,16:33:00
65,Ogród Botaniczny,TP-OGB,17:13:00
63,Ogród Botaniczny,TP-OGB,17:53:00
64,Ogród Botaniczny,TP-OGB,18:33:00
066,Ogród Botaniczny,TP-OGB,19:13:00
61,Ogród Botaniczny,TP-OGB,20:03:00
62,Ogród Botaniczny,TP-OGB,20:43:00
61,Ogród Botaniczny,TP-OGB,21:28:00
