brygada,kierunek,trasa,czas
2,PKP Legionowo,TP-LEG,05:08:00
1,PKP Legionowo,TP-LEG2,05:34:00
2,PKP Legionowo,TP-LEG2,06:14:00
1,PKP Legionowo,TP-LEG2,07:00:00
2,PKP Legionowo,TP-LEG2,07:22:00
1,PKP Legionowo,TP-LEG2,08:10:00
2,PKP Legionowo,TP-LEG2,09:02:00
1,PKP Legionowo,TP-LEG,09:34:00
2,PKP Legionowo,TP-LEG,10:55:00
1,PKP Legionowo,TP-LEG,11:55:00
2,PKP Legionowo,TP-LEG,12:36:00
1,PKP Legionowo,TP-LEG,13:36:00
2,PKP Legionowo,TP-LEG,14:41:00
1,PKP Legionowo,TP-LEG2,15:16:00
2,PKP Legionowo,TP-LEG2,16:09:00
1,PKP Legionowo,TP-LEG2,16:50:00
2,PKP Legionowo,TP-LEG2,17:31:00
1,PKP Legionowo,TP-LEG2,18:10:00
2,PKP Legionowo,TP-LEG2,18:55:00
1,PKP Legionowo,TP-LEG2,19:31:00
1,PKP Legionowo,TP-LEG,20:36:00
1,PKP Legionowo,TP-LEG,21:43:00
1,PKP Legionowo,TP-LEG,22:43:00
