brygada,kierunek,trasa,czas
265,Sarmacka,TO-SAR,23:56:00
267,Sarmacka,TO-SAR,24:56:00
269,Sarmacka,TO-SAR,25:56:00
264,Sarmacka,TO-SAR,26:56:00
166,Sarmacka,TO-SAR,27:56:00
168,Sarmacka,TO-SAR,28:56:00
