brygada,kierunek,trasa,czas
4,Wola Grzybowska,TP-GRZ,05:16:00
1,Wola Grzybowska,TP-GRZ,05:46:00
2,Wola Grzybowska,TP-GRZ,06:15:00
3,Wola Grzybowska,TP-GRZ,06:45:00
4,Wola Grzybowska,TP-GRZ,07:12:00
1,Wola Grzybowska,TP-GRZ,07:43:00
2,Wola Grzybowska,TP-GRZ,08:13:00
3,Wola Grzybowska,TP-GRZ,08:43:00
4,Wola Grzybowska,TP-GRZ,09:13:00
1,Wola Grzybowska,TP-GRZ,09:43:00
2,Wola Grzybowska,TP-GRZ,10:13:00
3,Wola Grzybowska,TP-GRZ,10:43:00
4,Wola Grzybowska,TP-GRZ,11:13:00
1,Wola Grzybowska,TP-GRZ,11:43:00
2,Wola Grzybowska,TP-GRZ,12:13:00
3,Wola Grzybowska,TP-GRZ,12:43:00
4,Wola Grzybowska,TP-GRZ,13:13:00
1,Wola Grzybowska,TP-GRZ,13:43:00
2,Wola Grzybowska,TP-GRZ,14:07:00
3,Wola Grzybowska,TP-GRZ,14:37:00
4,Wola Grzybowska,TP-GRZ,15:08:00
1,Wola Grzybowska,TP-GRZ,15:38:00
2,Wola Grzybowska,TP-GRZ,16:08:00
3,Wola Grzybowska,TP-GRZ,16:38:00
4,Wola Grzybowska,TP-GRZ,17:08:00
1,Wola Grzybowska,TP-GRZ,17:38:00
2,Wola Grzybowska,TP-GRZ,18:08:00
3,Wola Grzybowska,TP-GRZ,18:38:00
4,Wola Grzybowska,TP-GRZ,19:13:00
1,Wola Grzybowska,TP-GRZ,19:43:00
2,Wola Grzybowska,TP-GRZ,20:13:00
3,Wola Grzybowska,TP-GRZ,20:43:00
4,Wola Grzybowska,TP-GRZ,21:13:00
1,Wola Grzybowska,TP-GRZ,21:43:00
2,Wola Grzybowska,TP-GRZ,22:13:00
3,Wola Grzybowska,TP-GRZ,22:46:00
