brygada,kierunek,trasa,czas
09,Wilanów,TP-WLW,07:02:00
01,Wilanów,TP-WLW,07:12:00
02,Wilanów,TP-WLW,07:25:00
03,Wilanów,TP-WLW,07:35:00
04,Wilanów,TP-WLW,07:45:00
05,Wilanów,TP-WLW,07:55:00
06,Wilanów,TP-WLW,08:05:00
07,Wilanów,TP-WLW,08:15:00
08,Wilanów,TP-WLW,08:25:00
09,Wilanów,TP-WLW,08:35:00
01,Wilanów,TP-WLW,08:45:00
05,Wilanów,TP-WLW,14:45:00
01,Wilanów,TP-WLW,15:05:00
02,Wilanów,TX-WLW,15:23:00
03,Wilanów,TP-WLW,15:43:00
06,Wilanów,TX-WLW,16:03:00
05,Wilanów,TP-WLW,16:23:00
01,Wilanów,TP-WLW,16:43:00
02,Wilanów,TP-WLW,17:03:00
03,Wilanów,TP-WLW,17:23:00
06,Wilanów,TP-WLW,17:43:00
05,Wilanów,TP-WLW,18:03:00
01,Wilanów,TP-WLW,18:23:00
