brygada,kierunek,trasa,czas
07,P+R Al.Krakowska,TP-OKE,04:58:00
06,P+R Al.Krakowska,TP-OKE,05:28:00
1,P+R Al.Krakowska,TP-OKE,05:58:00
3,P+R Al.Krakowska,TP-OKE,06:18:00
07,P+R Al.Krakowska,TP-OKE,06:38:00
4,P+R Al.Krakowska,TP-OKE,06:53:00
06,P+R Al.Krakowska,TP-OKE,07:08:00
5,P+R Al.Krakowska,TP-OKE,07:23:00
1,P+R Al.Krakowska,TP-OKE,07:38:00
2,P+R Al.Krakowska,TP-OKE,07:53:00
3,P+R Al.Krakowska,TP-OKE,08:08:00
07,P+R Al.Krakowska,TX-OKE18,08:23:00
4,P+R Al.Krakowska,TP-OKE,08:38:00
06,P+R Al.Krakowska,TP-OKE,08:58:00
5,P+R Al.Krakowska,TP-OKE,09:18:00
1,P+R Al.Krakowska,TP-OKE,09:38:00
2,P+R Al.Krakowska,TP-OKE,09:58:00
3,P+R Al.Krakowska,TP-OKE,10:18:00
4,P+R Al.Krakowska,TP-OKE,10:38:00
06,P+R Al.Krakowska,TX-OKE18,10:58:00
5,P+R Al.Krakowska,TP-OKE,11:18:00
1,P+R Al.Krakowska,TP-OKE,11:38:00
2,P+R Al.Krakowska,TP-OKE,11:58:00
3,P+R Al.Krakowska,TP-OKE,12:18:00
4,P+R Al.Krakowska,TP-OKE,12:38:00
5,P+R Al.Krakowska,TP-OKE,12:58:00
1,P+R Al.Krakowska,TP-OKE,13:18:00
2,P+R Al.Krakowska,TP-OKE,13:38:00
3,P+R Al.Krakowska,TP-OKE,13:58:00
4,P+R Al.Krakowska,TP-OKE,14:18:00
5,P+R Al.Krakowska,TP-OKE,14:38:00
06,P+R Al.Krakowska,TP-OKE,14:53:00
1,P+R Al.Krakowska,TP-OKE,15:08:00
07,P+R Al.Krakowska,TP-OKE,15:23:00
2,P+R Al.Krakowska,TP-OKE,15:38:00
3,P+R Al.Krakowska,TP-OKE,15:53:00
4,P+R Al.Krakowska,TP-OKE,16:08:00
5,P+R Al.Krakowska,TP-OKE,16:23:00
06,P+R Al.Krakowska,TP-OKE,16:38:00
1,P+R Al.Krakowska,TP-OKE,16:53:00
07,P+R Al.Krakowska,TP-OKE,17:08:00
2,P+R Al.Krakowska,TP-OKE,17:23:00
3,P+R Al.Krakowska,TP-OKE,17:38:00
4,P+R Al.Krakowska,TP-OKE,17:53:00
5,P+R Al.Krakowska,TP-OKE,18:08:00
06,P+R Al.Krakowska,TX-OKE18,18:23:00
1,P+R Al.Krakowska,TP-OKE,18:38:00
07,P+R Al.Krakowska,TP-OKE,18:58:00
2,P+R Al.Krakowska,TP-OKE,19:18:00
3,P+R Al.Krakowska,TP-OKE,19:38:00
4,P+R Al.Krakowska,TP-OKE,19:58:00
5,P+R Al.Krakowska,TP-OKE,20:18:00
1,P+R Al.Krakowska,TP-OKE,20:38:00
07,P+R Al.Krakowska,TX-OKE18,20:58:00
2,P+R Al.Krakowska,TP-OKE,21:18:00
3,P+R Al.Krakowska,TX-OKE18,21:38:00
4,P+R Al.Krakowska,TP-OKE,21:58:00
5,ZEA WORONICZA,TZ-WLW7,22:13:00
1,P+R Al.Krakowska,TP-OKE,22:28:00
2,P+R Al.Krakowska,TX-OKE18,22:58:00
4,ZEA WORONICZA,TZ-WLW7,23:28:00
