brygada,kierunek,trasa,czas
06,Elsnerów,TP-ELS,05:23:00
05,Elsnerów,TP-ELS,05:53:00
2,Elsnerów,TP-ELS,06:18:00
06,Elsnerów,TP-ELS,06:49:00
05,Elsnerów,TP-ELS,07:22:00
3,Elsnerów,TP-ELS,07:53:00
1,Elsnerów,TP-ELS,08:38:00
3,Elsnerów,TP-ELS,09:34:00
1,Elsnerów,TP-ELS,10:14:00
3,Elsnerów,TP-ELS,10:54:00
1,Elsnerów,TP-ELS,11:34:00
3,Elsnerów,TP-ELS,12:14:00
1,Elsnerów,TP-ELS,12:54:00
06,Elsnerów,TD-3ELS,13:24:00
4,Elsnerów,TP-ELS,13:53:00
1,Elsnerów,TP-ELS,14:13:00
06,Elsnerów,TP-ELS,14:43:00
4,Elsnerów,TP-ELS,15:13:00
1,Elsnerów,TP-ELS,15:44:00
06,Elsnerów,TP-ELS,16:14:00
4,Elsnerów,TP-ELS,16:44:00
1,Elsnerów,TP-ELS,17:14:00
06,Elsnerów,TP-ELS,17:44:00
4,Elsnerów,TP-ELS,18:14:00
1,Elsnerów,TP-ELS,18:42:00
06,Elsnerów,TP-ELS,19:12:00
4,Elsnerów,TP-ELS,19:42:00
1,Elsnerów,TP-ELS,20:20:00
212,Elsnerów,TD-3ELS,20:49:00
05,Elsnerów,TP-ELS,21:19:00
1,Elsnerów,TP-ELS,21:39:00
3,Elsnerów,TP-ELS,22:23:00
