brygada,kierunek,trasa,czas
1,Cm.Południowy-Brama Płd.,TP-CPD,04:34:00
2,Cm.Południowy-Brama Płd.,TP-CPD,05:14:00
1,Cm.Południowy-Brama Płd.,TP-CPD,05:44:00
2,Cm.Południowy-Brama Płd.,TP-CPD,06:20:00
1,Cm.Południowy-Brama Płd.,TP-CPD,07:07:00
2,Cm.Południowy-Brama Płd.,TP-CPD,07:42:00
1,Cm.Południowy-Brama Płd.,TP-CPD,08:37:00
2,Cm.Południowy-Brama Płd.,TP-CPD,09:37:00
1,Cm.Południowy-Brama Płd.,TP-CPD,10:37:00
2,Cm.Południowy-Brama Płd.,TP-CPD,11:37:00
1,Cm.Południowy-Brama Płd.,TP-CPD,12:37:00
2,Cm.Południowy-Brama Płd.,TP-CPD,13:37:00
1,Cm.Południowy-Brama Płd.,TP-CPD,14:37:00
2,Cm.Południowy-Brama Płd.,TP-CPD,15:32:00
1,Cm.Południowy-Brama Płd.,TP-CPD,16:12:00
2,Cm.Południowy-Brama Płd.,TP-CPD,16:59:00
1,Cm.Południowy-Brama Płd.,TP-CPD,17:37:00
2,Cm.Południowy-Brama Płd.,TP-CPD,18:37:00
1,Cm.Południowy-Brama Płd.,TP-CPD,19:37:00
2,Cm.Południowy-Brama Płd.,TP-CPD,20:37:00
1,Cm.Południowy-Brama Płd.,TP-CPD,21:37:00
2,Cm.Południowy-Brama Płd.,TP-CPD,22:37:00
