brygada,kierunek,trasa,czas
01,Metro Ratusz-Arsenał,TP-MRA,06:17:00
03,Metro Ratusz-Arsenał,TP-MRA,06:37:00
05,Metro Ratusz-Arsenał,TP-MRA,06:57:00
06,Metro Ratusz-Arsenał,TP-MRA,07:07:00
07,Metro Ratusz-Arsenał,TP-MRA,07:17:00
08,Metro Ratusz-Arsenał,TP-MRA,07:27:00
09,Metro Ratusz-Arsenał,TP-MRA,07:37:00
01,Metro Ratusz-Arsenał,TP-MRA,07:47:00
02,pl.Bankowy,TX-BAN2,07:57:00
03,Metro Ratusz-Arsenał,TP-MRA,08:07:00
04,pl.Bankowy,TX-BAN2,08:17:00
05,Metro Ratusz-Arsenał,TP-MRA,08:27:00
06,pl.Bankowy,TX-BAN4,08:37:00
07,pl.Bankowy,TX-BAN4,08:47:00
08,pl.Bankowy,TX-BAN4,08:57:00
09,pl.Bankowy,TX-BAN2,09:07:00
01,Metro Ratusz-Arsenał,TP-MRA,09:17:00
05,Metro Ratusz-Arsenał,TP-MRA,15:27:00
01,Metro Ratusz-Arsenał,TP-MRA,15:47:00
02,Metro Ratusz-Arsenał,TP-MRA,16:07:00
03,Metro Ratusz-Arsenał,TP-MRA,16:27:00
06,Metro Ratusz-Arsenał,TP-MRA,16:47:00
05,Metro Ratusz-Arsenał,TP-MRA,17:07:00
01,Metro Ratusz-Arsenał,TP-MRA,17:27:00
02,pl.Bankowy,TX-BAN2,17:47:00
