brygada,kierunek,trasa,czas
65,Metro Wilanowska,TP-WIL,04:56:00
63,Metro Wilanowska,TP-WIL,05:36:00
64,Metro Wilanowska,TP-WIL,06:16:00
65,Metro Wilanowska,TP-WIL,06:51:00
63,Metro Wilanowska,TP-WIL,07:31:00
64,Metro Wilanowska,TP-WIL,08:11:00
61,Metro Wilanowska,TP-WIL,08:51:00
62,Metro Wilanowska,TP-WIL,09:29:00
066,Metro Wilanowska,TX-WIL,10:09:00
65,Metro Wilanowska,TP-WIL,10:49:00
63,Metro Wilanowska,TP-WIL,11:29:00
64,Metro Wilanowska,TP-WIL,12:09:00
65,Metro Wilanowska,TP-WIL,12:49:00
63,Metro Wilanowska,TP-WIL,13:29:00
64,Metro Wilanowska,TP-WIL,14:09:00
066,Metro Wilanowska,TP-WIL,14:49:00
61,Metro Wilanowska,TP-WIL,15:23:00
62,Metro Wilanowska,TP-WIL,16:03:00
65,Metro Wilanowska,TP-WIL,16:43:00
63,Metro Wilanowska,TP-WIL,17:23:00
64,Metro Wilanowska,TP-WIL,18:03:00
066,Metro Wilanowska,TP-WIL,18:43:00
61,Metro Wilanowska,TP-WIL,19:23:00
62,Metro Wilanowska,TP-WIL,20:03:00
65,Metro Wilanowska,TP-WIL,20:40:00
63,Metro Wilanowska,TP-WIL,21:19:00
64,Metro Wilanowska,TP-WIL,21:59:00
65,Metro Wilanowska,TX-WIL,22:39:00
63,Metro Wilanowska,TX-WIL,23:19:00
64,Metro Wilanowska,TX-WIL,23:59:00
61,Metro Wilanowska,TX-WIL,24:19:00
