brygada,kierunek,trasa,czas
6,Dw.Centralny,TO-DWC27,05:04:00
1,Dw.Centralny,TO-DWC27,05:19:00
2,Dw.Centralny,TO-DWC27,05:34:00
4,Dw.Centralny,TO-DWC27,05:49:00
5,Dw.Centralny,TO-DWC27,06:01:00
08,Dw.Centralny,TX-DWCS,06:16:00
6,Dw.Centralny,TO-DWC27,06:31:00
1,Dw.Centralny,TO-DWC27,06:46:00
09,pl.Konstytucji,TX-KSTS,06:54:00
2,Dw.Centralny,TO-DWC27,07:01:00
7,pl.Konstytucji,TX-KSTS,07:07:00
3,Dw.Centralny,TO-DWC27,07:17:00
010,pl.Konstytucji,TX-KSTS,07:22:00
4,Dw.Centralny,TO-DWC27,07:31:00
011,pl.Konstytucji,TX-KSTS,07:37:00
5,Dw.Centralny,TO-DWC27,07:44:00
08,Dw.Centralny,TX-DWC2B,07:51:00
6,Dw.Centralny,TO-DWC27,07:59:00
09,pl.Konstytucji,TX-KSTBZ,08:06:00
1,Dw.Centralny,TO-DWC27,08:14:00
7,pl.Konstytucji,TX-KST0B,08:21:00
2,Dw.Centralny,TO-DWC27,08:29:00
010,pl.Konstytucji,TX-KSTBZ,08:37:00
3,Dw.Centralny,TO-DWC27,08:44:00
011,pl.Konstytucji,TX-KSTBZ,08:49:00
4,Dw.Centralny,TO-DWC27,09:03:00
5,Dw.Centralny,TO-DWC27,09:18:00
6,Dw.Centralny,TO-DWC27,09:33:00
7,Dw.Centralny,TO-DWC27,09:48:00
1,Dw.Centralny,TO-DWC27,10:03:00
2,Dw.Centralny,TO-DWC27,10:18:00
3,Dw.Centralny,TO-DWC27,10:33:00
4,Dw.Centralny,TO-DWC27,10:48:00
5,Dw.Centralny,TO-DWC27,11:03:00
6,Dw.Centralny,TO-DWC27,11:18:00
7,Dw.Centralny,TO-DWC27,11:33:00
1,Dw.Centralny,TO-DWC27,11:48:00
2,Dw.Centralny,TO-DWC27,12:03:00
3,Dw.Centralny,TO-DWC27,12:18:00
4,Dw.Centralny,TO-DWC27,12:33:00
5,Dw.Centralny,TO-DWC27,12:48:00
6,Dw.Centralny,TO-DWC27,13:03:00
7,Dw.Centralny,TO-DWC27,13:18:00
1,Dw.Centralny,TO-DWC27,13:33:00
2,Dw.Centralny,TO-DWC27,13:48:00
3,Dw.Centralny,TO-DWC27,14:03:00
4,Dw.Centralny,TO-DWC27,14:18:00
5,Dw.Centralny,TO-DWC27,14:33:00
6,Dw.Centralny,TO-DWC27,14:47:00
7,Dw.Centralny,TO-DWC27,15:02:00
1,Dw.Centralny,TO-DWC27,15:17:00
08,pl.Konstytucji,TX-KST0B,15:24:00
2,Dw.Centralny,TO-DWC27,15:32:00
09,pl.Konstytucji,TX-KST0B,15:39:00
3,Dw.Centralny,TO-DWC27,15:47:00
010,pl.Konstytucji,TX-KST0B,15:54:00
4,Dw.Centralny,TO-DWC27,16:02:00
011,pl.Konstytucji,TX-KST0B,16:09:00
5,Dw.Centralny,TO-DWC27,16:17:00
012,pl.Konstytucji,TX-KST0B,16:24:00
6,Dw.Centralny,TO-DWC27,16:32:00
013,pl.Konstytucji,TX-KST0B,16:39:00
7,Dw.Centralny,TO-DWC27,16:47:00
08,pl.Konstytucji,TX-KST0B,16:54:00
1,Dw.Centralny,TO-DWC27,17:02:00
09,pl.Konstytucji,TX-KST0B,17:09:00
2,Dw.Centralny,TO-DWC27,17:17:00
010,pl.Konstytucji,TX-KST0B,17:24:00
3,Dw.Centralny,TO-DWC27,17:32:00
011,pl.Konstytucji,TX-KST0B,17:39:00
4,Dw.Centralny,TO-DWC27,17:48:00
5,Dw.Centralny,TO-DWC27,18:03:00
6,Dw.Centralny,TO-DWC27,18:18:00
7,Dw.Centralny,TO-DWC27,18:33:00
1,Dw.Centralny,TO-DWC27,18:48:00
2,Dw.Centralny,TO-DWC27,19:03:00
3,Dw.Centralny,TO-DWC27,19:18:00
4,Dw.Centralny,TO-DWC27,19:36:00
5,Dw.Centralny,TO-DWC27,19:51:00
6,Dw.Centralny,TX-DWC2B,20:06:00
7,Dw.Centralny,TO-DWC27,20:21:00
1,Dw.Centralny,TO-DWC27,20:36:00
2,Dw.Centralny,TO-DWC27,20:51:00
3,Dw.Centralny,TO-DWC27,21:07:00
4,Dw.Centralny,TO-DWC27,21:22:00
269,Dw.Centralny,TO-DWC27,21:37:00
7,Dw.Centralny,TO-DWC27,22:07:00
3,Dw.Centralny,TO-DWC27,22:37:00
269,Dw.Centralny,TO-DWC27,23:12:00
