brygada,kierunek,trasa,czas
1,PKP Legionowo,TO-LEP,04:40:00
02,PKP Legionowo,TX-LEP,05:50:00
1,PKP Dąbkowizna,TO-DAB,05:53:00
1,PKP Legionowo,TO-LEP,07:00:00
02,PKP Dąbkowizna,TX-DAB,07:03:00
02,PKP Legionowo,TX-LEP,08:01:00
1,PKP Dąbkowizna,TO-DAB,08:13:00
1,PKP Legionowo,TO-LEP,09:20:00
02,PKP Dąbkowizna,TX-DAB,09:24:00
02,PKP Legionowo,TX-LEP,10:30:00
1,PKP Dąbkowizna,TO-DAB,10:44:00
1,PKP Legionowo,TO-LEP,11:50:00
1,PKP Dąbkowizna,TO-DAB,13:06:00
1,PKP Legionowo,TO-LEP,14:04:00
02,PKP Dąbkowizna,TX-DAB,14:16:00
02,PKP Legionowo,TX-LEP,15:14:00
1,PKP Dąbkowizna,TO-DAB,15:29:00
1,PKP Legionowo,TO-LEP,16:24:00
02,PKP Dąbkowizna,TX-DAB,16:39:00
02,PKP Legionowo,TX-LEP,17:44:00
1,PKP Dąbkowizna,TO-DAB,17:48:00
02,PKP Dąbkowizna,TX-DAB,18:58:00
1,PKP Legionowo,TO-LEP,19:27:00
1,PKP Dąbkowizna,TO-DAB,20:50:00
1,PKP Legionowo,TO-LEP,21:57:00
1,PKP Dąbkowizna,TO-DAB,23:09:00
