brygada,kierunek,trasa,czas
62,Metro Wilanowska,TP-WIL,05:51:00
066,Metro Wilanowska,TP-WIL,06:31:00
62,Metro Wilanowska,TP-WIL,07:11:00
066,Metro Wilanowska,TP-WIL,07:51:00
65,Metro Wilanowska,TP-WIL,08:31:00
63,Metro Wilanowska,TP-WIL,09:09:00
64,Metro Wilanowska,TP-WIL,09:49:00
61,Metro Wilanowska,TP-WIL,10:29:00
62,Metro Wilanowska,TP-WIL,11:09:00
61,Metro Wilanowska,TP-WIL,11:49:00
62,Metro Wilanowska,TP-WIL,12:29:00
61,Metro Wilanowska,TP-WIL,13:09:00
62,Metro Wilanowska,TP-WIL,13:49:00
65,Metro Wilanowska,TP-WIL,14:29:00
63,Metro Wilanowska,TP-WIL,15:09:00
64,Metro Wilanowska,TP-WIL,15:43:00
066,Metro Wilanowska,TP-WIL,16:23:00
61,Metro Wilanowska,TP-WIL,17:03:00
62,Metro Wilanowska,TP-WIL,17:43:00
65,Metro Wilanowska,TP-WIL,18:23:00
63,Metro Wilanowska,TP-WIL,19:03:00
64,Metro Wilanowska,TP-WIL,19:43:00
066,Metro Wilanowska,TX-WIL,20:23:00
61,Metro Wilanowska,TP-WIL,21:03:00
62,Metro Wilanowska,TX-WIL,21:39:00
61,Metro Wilanowska,TP-WIL,22:19:00
