brygada,kierunek,trasa,czas
01,PKP Legionowo,TP-LEP,04:22:00
504,PKP Legionowo,TP-LEP-G,05:21:00
505,PKP Legionowo,TP-LEP,05:47:00
713,PKP Legionowo,TP-LEP,06:17:00
01,PKP Legionowo,TP-LEP,06:47:00
500,PKP Legionowo,TP-LEP-U,07:16:00
712,PKP Legionowo,TP-LEP-U,07:51:00
505,PKP Legionowo,TP-LEP,08:21:00
711,PKP Legionowo,TP-LEP-G,09:16:00
01,PKP Legionowo,TP-LEP,10:16:00
505,PKP Legionowo,TP-LEP-G,11:16:00
01,PKP Legionowo,TP-LEP-G,13:16:00
713,PKP Legionowo,TP-LEP,13:46:00
504,PKP Legionowo,TP-LEP-G,15:13:00
01,PKP Legionowo,TP-LEP-H,16:10:00
505,PKP Legionowo,TP-LEP-G,17:14:00
504,PKP Legionowo,TP-LEP,18:14:00
505,PKP Legionowo,TP-LEP,20:10:00
505,PKP Legionowo,TP-LEP,22:48:00
