brygada,kierunek,trasa,czas
06,Wiśniowa Góra,TO-WIG,04:49:00
07,Wiśniowa Góra,TO-WIG,05:19:00
1,Wiśniowa Góra,TO-WIG,05:46:00
3,Wiśniowa Góra,TO-WIG,06:17:00
4,Wiśniowa Góra,TO-WIG,06:40:00
06,Wiśniowa Góra,TO-WIG,07:00:00
5,Wiśniowa Góra,TO-WIG,07:21:00
07,Wiśniowa Góra,TO-WIG,07:40:00
1,Wiśniowa Góra,TO-WIG,08:00:00
2,Wiśniowa Góra,TO-WIG,08:20:00
3,Wiśniowa Góra,TO-WIG,08:50:00
4,Wiśniowa Góra,TO-WIG,09:21:00
5,Wiśniowa Góra,TO-WIG,09:51:00
1,Wiśniowa Góra,TO-WIG,10:21:00
2,Wiśniowa Góra,TO-WIG,10:51:00
3,Wiśniowa Góra,TO-WIG,11:21:00
4,Wiśniowa Góra,TO-WIG,11:51:00
5,Wiśniowa Góra,TO-WIG,12:21:00
1,Wiśniowa Góra,TO-WIG,12:51:00
2,Wiśniowa Góra,TO-WIG,13:21:00
3,Wiśniowa Góra,TO-WIG,13:51:00
4,Wiśniowa Góra,TO-WIG,14:21:00
07,Wiśniowa Góra,TO-WIG,14:41:00
5,Wiśniowa Góra,TO-WIG,15:00:00
1,Wiśniowa Góra,TO-WIG,15:21:00
2,Wiśniowa Góra,TO-WIG,15:41:00
06,Wiśniowa Góra,TO-WIG,16:01:00
3,Wiśniowa Góra,TO-WIG,16:21:00
4,Wiśniowa Góra,TO-WIG,16:41:00
07,Wiśniowa Góra,TO-WIG,17:01:00
5,Wiśniowa Góra,TO-WIG,17:21:00
1,Wiśniowa Góra,TO-WIG,17:41:00
2,Wiśniowa Góra,TO-WIG,18:01:00
06,Wiśniowa Góra,TO-WIG,18:25:00
3,Wiśniowa Góra,TO-WIG,18:51:00
4,Wiśniowa Góra,TO-WIG,19:20:00
5,Wiśniowa Góra,TO-WIG,19:50:00
1,Wiśniowa Góra,TO-WIG,20:20:00
2,Wiśniowa Góra,TO-WIG,20:50:00
3,Wiśniowa Góra,TO-WIG,21:20:00
4,Wiśniowa Góra,TO-WIG,21:50:00
5,Wiśniowa Góra,TO-WIG,22:19:00
1,Wiśniowa Góra,TO-WIG,22:49:00
2,Wiśniowa Góra,TO-WIG,23:19:00
