brygada,kierunek,trasa,czas
1,Augustów,TO-AUG,06:25:00
2,Augustów,TO-AUG,06:55:00
3,Augustów,TO-AUG,07:25:00
1,Augustów,TO-AUG,07:55:00
2,Augustów,TO-AUG,08:25:00
3,Augustów,TO-AUG,08:55:00
1,Augustów,TO-AUG,09:25:00
2,Augustów,TO-AUG,09:55:00
3,Augustów,TO-AUG,10:25:00
1,Augustów,TO-AUG,10:55:00
2,Augustów,TO-AUG,11:25:00
3,Augustów,TO-AUG,11:55:00
1,Augustów,TO-AUG,12:25:00
2,Augustów,TO-AUG,12:55:00
3,Augustów,TO-AUG,13:25:00
1,Augustów,TO-AUG,13:55:00
2,Augustów,TO-AUG,14:25:00
3,Augustów,TO-AUG,14:55:00
1,Augustów,TO-AUG,15:25:00
2,Augustów,TO-AUG,15:55:00
3,Augustów,TO-AUG,16:25:00
1,Augustów,TO-AUG,16:55:00
2,Augustów,TO-AUG,17:25:00
3,Augustów,TO-AUG,17:55:00
1,Augustów,TO-AUG,18:25:00
2,Augustów,TO-AUG,18:55:00
3,Augustów,TO-AUG,19:25:00
1,Augustów,TO-AUG,19:55:00
2,Augustów,TO-AUG,20:25:00
3,Augustów,TO-AUG,20:55:00
1,Augustów,TO-AUG,21:25:00
2,Augustów,TO-AUG,21:55:00
3,Augustów,TO-AUG,22:25:00
1,Augustów,TO-AUG,22:55:00
2,Augustów,TO-AUG,23:25:00
