brygada,kierunek,trasa,czas
07,PKP Olszynka Grochowska,TP-OLS,04:54:00
6,PKP Olszynka Grochowska,TP-OLS,05:24:00
08,PKP Olszynka Grochowska,TP-OLS,05:48:00
2,PKP Olszynka Grochowska,TP-OLS,06:09:00
3,PKP Olszynka Grochowska,TP-OLS,06:24:00
07,PKP Olszynka Grochowska,TP-OLS,06:39:00
4,PKP Olszynka Grochowska,TP-OLS,06:54:00
5,PKP Olszynka Grochowska,TP-OLS,07:11:00
6,PKP Olszynka Grochowska,TP-OLS,07:26:00
08,PKP Olszynka Grochowska,TP-OLS,07:41:00
1,PKP Olszynka Grochowska,TP-OLS,07:56:00
2,PKP Olszynka Grochowska,TP-OLS,08:11:00
3,PKP Olszynka Grochowska,TP-OLS,08:26:00
07,PKP Olszynka Grochowska,TP-OLS,08:41:00
4,PKP Olszynka Grochowska,TP-OLS,08:56:00
5,PKP Olszynka Grochowska,TP-OLS,09:11:00
6,PKP Olszynka Grochowska,TP-OLS,09:31:00
1,PKP Olszynka Grochowska,TP-OLS,09:51:00
2,PKP Olszynka Grochowska,TP-OLS,10:11:00
3,PKP Olszynka Grochowska,TP-OLS,10:31:00
07,PKP Olszynka Grochowska,TX-OLS5,10:51:00
4,PKP Olszynka Grochowska,TP-OLS,11:11:00
5,PKP Olszynka Grochowska,TP-OLS,11:31:00
6,PKP Olszynka Grochowska,TP-OLS,11:51:00
1,PKP Olszynka Grochowska,TP-OLS,12:11:00
2,PKP Olszynka Grochowska,TP-OLS,12:31:00
3,PKP Olszynka Grochowska,TP-OLS,12:51:00
4,PKP Olszynka Grochowska,TP-OLS,13:11:00
5,PKP Olszynka Grochowska,TP-OLS,13:31:00
6,PKP Olszynka Grochowska,TP-OLS,13:51:00
1,PKP Olszynka Grochowska,TP-OLS,14:09:00
2,PKP Olszynka Grochowska,TP-OLS,14:24:00
08,PKP Olszynka Grochowska,TP-OLS,14:39:00
3,PKP Olszynka Grochowska,TP-OLS,14:54:00
4,PKP Olszynka Grochowska,TP-OLS,15:10:00
5,PKP Olszynka Grochowska,TP-OLS,15:25:00
07,PKP Olszynka Grochowska,TP-OLS,15:40:00
6,PKP Olszynka Grochowska,TP-OLS,15:55:00
1,PKP Olszynka Grochowska,TP-OLS,16:10:00
2,PKP Olszynka Grochowska,TP-OLS,16:25:00
08,PKP Olszynka Grochowska,TP-OLS,16:40:00
3,PKP Olszynka Grochowska,TP-OLS,16:55:00
4,PKP Olszynka Grochowska,TP-OLS,17:10:00
5,PKP Olszynka Grochowska,TP-OLS,17:25:00
07,PKP Olszynka Grochowska,TX-OLS5,17:40:00
6,PKP Olszynka Grochowska,TP-OLS,17:55:00
1,PKP Olszynka Grochowska,TP-OLS,18:13:00
2,PKP Olszynka Grochowska,TP-OLS,18:33:00
08,PKP Olszynka Grochowska,TX-OLS5,18:53:00
3,PKP Olszynka Grochowska,TP-OLS,19:12:00
4,PKP Olszynka Grochowska,TP-OLS,19:32:00
5,PKP Olszynka Grochowska,TP-OLS,19:52:00
6,PKP Olszynka Grochowska,TP-OLS,20:12:00
1,PKP Olszynka Grochowska,TP-OLS,20:32:00
2,PKP Olszynka Grochowska,TP-OLS,20:52:00
3,PKP Olszynka Grochowska,TP-OLS,21:11:00
4,PKP Olszynka Grochowska,TX-OLS5,21:31:00
6,PKP Olszynka Grochowska,TP-OLS,21:54:00
1,PKP Olszynka Grochowska,TP-OLS,22:24:00
2,PKP Olszynka Grochowska,TX-OLS5,22:54:00
3,PKP Olszynka Grochowska,TX-OLS5,23:24:00
