brygada,kierunek,trasa,czas
1,Wiatraczna,TX-WIA,05:17:00
5,Wiatraczna,TP-WIA,05:47:00
010,Wiatraczna,TP-WIA,06:08:00
6,Wiatraczna,TX-WIA,06:25:00
7,Wiatraczna,TP-WIA,06:41:00
012,Wiatraczna,TX-WIA,06:56:00
8,Wiatraczna,TX-WIA,07:11:00
9,Wiatraczna,TP-WIA,07:26:00
011,Wiatraczna,TX-WIA,07:39:00
1,Wiatraczna,TP-WIA,07:55:00
2,Wiatraczna,TP-WIA,08:10:00
3,Wiatraczna,TX-WIA,08:25:00
4,Wiatraczna,TP-WIA,08:40:00
5,Wiatraczna,TP-WIA,08:56:00
010,Wiatraczna,TP-WIA,09:13:00
6,Wiatraczna,TP-WIA,09:33:00
7,Wiatraczna,TP-WIA,09:53:00
8,Wiatraczna,TP-WIA,10:13:00
9,Wiatraczna,TP-WIA,10:33:00
1,Wiatraczna,TP-WIA,10:53:00
2,Wiatraczna,TP-WIA,11:13:00
3,Wiatraczna,TP-WIA,11:33:00
4,Wiatraczna,TP-WIA,11:53:00
5,Wiatraczna,TP-WIA,12:13:00
6,Wiatraczna,TP-WIA,12:33:00
7,Wiatraczna,TP-WIA,12:53:00
8,Wiatraczna,TP-WIA,13:13:00
9,Wiatraczna,TP-WIA,13:33:00
1,Wiatraczna,TP-WIA,13:52:00
2,Wiatraczna,TP-WIA,14:07:00
012,Wiatraczna,TX-WIA,14:22:00
3,Wiatraczna,TP-WIA,14:37:00
4,Wiatraczna,TP-WIA,14:52:00
5,Wiatraczna,TP-WIA,15:07:00
011,Wiatraczna,TX-WIA,15:24:00
6,Wiatraczna,TP-WIA,15:40:00
7,Wiatraczna,TP-WIA,15:55:00
8,Wiatraczna,TP-WIA,16:10:00
010,Wiatraczna,TP-WIA,16:25:00
9,Wiatraczna,TP-WIA,16:40:00
1,Wiatraczna,TP-WIA,16:55:00
2,Wiatraczna,TP-WIA,17:10:00
012,Wiatraczna,TP-WIA,17:25:00
3,Wiatraczna,TP-WIA,17:40:00
4,Wiatraczna,TP-WIA,17:55:00
5,Wiatraczna,TP-WIA,18:10:00
011,Wiatraczna,TP-WIA,18:25:00
6,Wiatraczna,TP-WIA,18:40:00
7,Wiatraczna,TP-WIA,18:58:00
8,Wiatraczna,TP-WIA,19:15:00
010,Wiatraczna,TP-WIA,19:34:00
9,Wiatraczna,TP-WIA,19:54:00
1,Wiatraczna,TP-WIA,20:14:00
2,Wiatraczna,TP-WIA,20:34:00
3,Wiatraczna,TP-WIA,20:54:00
4,Wiatraczna,TP-WIA,21:17:00
6,Wiatraczna,TP-WIA,21:47:00
8,Wiatraczna,TX-WIA3,22:17:00
9,Wiatraczna,TX-WIA3,22:47:00
2,Wiatraczna,TX-WIA3,23:17:00
3,Wiatraczna,TX-WIA3,23:47:00
