brygada,kierunek,trasa,czas
08,Kępa Tarchomińska,TP-KTA,04:40:00
1,Kępa Tarchomińska,TP-KTA,05:10:00
2,Dąbrówka Wiślana,TP-DWI,05:35:00
3,Kępa Tarchomińska,TP-KTA,05:45:00
460,Dąbrówka Wiślana,TP-DWI,05:53:00
6,Dąbrówka Wiślana,TP-DWI,06:02:00
5,Kępa Tarchomińska,TP-KTA,06:11:00
461,Dąbrówka Wiślana,TP-DWI,06:21:00
08,Dąbrówka Wiślana,TP-DWI,06:31:00
09,Kępa Tarchomińska,TP-KTA,06:39:00
2,Dąbrówka Wiślana,TP-DWI,06:49:00
1,Kępa Tarchomińska,TP-KTA,06:59:00
460,Dąbrówka Wiślana,TP-DWI,07:09:00
6,Kępa Tarchomińska,TP-KTA,07:19:00
3,Dąbrówka Wiślana,TP-DWI,07:29:00
461,Kępa Tarchomińska,TP-KTA,07:39:00
08,Dąbrówka Wiślana,TP-DWI,07:49:00
5,Dąbrówka Wiślana,TP-DWI,07:59:00
2,Kępa Tarchomińska,TP-KTA,08:09:00
09,Dąbrówka Wiślana,TP-DWI,08:19:00
460,Kępa Tarchomińska,TP-KTA,08:32:00
1,Dąbrówka Wiślana,TP-DWI,08:47:00
3,Kępa Tarchomińska,TP-KTA,09:02:00
6,Dąbrówka Wiślana,TP-DWI,09:17:00
5,Kępa Tarchomińska,TP-KTA,09:32:00
461,Dąbrówka Wiślana,TP-DWI,09:47:00
2,Kępa Tarchomińska,TP-KTA,10:02:00
1,Dąbrówka Wiślana,TP-DWI,10:17:00
460,Kępa Tarchomińska,TP-KTA,10:32:00
6,Dąbrówka Wiślana,TP-DWI,10:47:00
3,Kępa Tarchomińska,TP-KTA,11:02:00
461,Dąbrówka Wiślana,TP-DWI,11:17:00
5,Kępa Tarchomińska,TP-KTA,11:32:00
1,Dąbrówka Wiślana,TP-DWI,11:47:00
2,Kępa Tarchomińska,TP-KTA,12:02:00
6,Dąbrówka Wiślana,TP-DWI,12:17:00
460,Kępa Tarchomińska,TP-KTA,12:32:00
461,Dąbrówka Wiślana,TP-DWI,12:47:00
3,Kępa Tarchomińska,TP-KTA,13:02:00
1,Dąbrówka Wiślana,TP-DWI,13:17:00
5,Kępa Tarchomińska,TP-KTA,13:32:00
6,Dąbrówka Wiślana,TP-DWI,13:47:00
2,Kępa Tarchomińska,TP-KTA,14:02:00
461,Dąbrówka Wiślana,TP-DWI,14:15:00
460,Dąbrówka Wiślana,TP-DWI,14:25:00
08,Kępa Tarchomińska,TP-KTA,14:34:00
1,Dąbrówka Wiślana,TP-DWI,14:44:00
3,Dąbrówka Wiślana,TP-DWI,14:54:00
09,Kępa Tarchomińska,TP-KTA,15:03:00
6,Dąbrówka Wiślana,TP-DWI,15:13:00
5,Dąbrówka Wiślana,TP-DWI,15:23:00
461,Kępa Tarchomińska,TP-KTA,15:33:00
460,Dąbrówka Wiślana,TP-DWI,15:43:00
2,Dąbrówka Wiślana,TP-DWI,15:53:00
1,Kępa Tarchomińska,TP-KTA,16:03:00
3,Dąbrówka Wiślana,TP-DWI,16:13:00
08,Dąbrówka Wiślana,TP-DWI,16:23:00
6,Kępa Tarchomińska,TP-KTA,16:33:00
5,Dąbrówka Wiślana,TP-DWI,16:43:00
09,Dąbrówka Wiślana,TP-DWI,16:53:00
460,Kępa Tarchomińska,TP-KTA,17:03:00
2,Dąbrówka Wiślana,TP-DWI,17:13:00
461,Dąbrówka Wiślana,TP-DWI,17:23:00
011,Kępa Tarchomińska,TP-KTA,17:33:00
3,Dąbrówka Wiślana,TP-DWI,17:43:00
08,Dąbrówka Wiślana,TP-DWI,17:53:00
1,Kępa Tarchomińska,TP-KTA,18:03:00
5,Dąbrówka Wiślana,TP-DWI,18:13:00
09,Dąbrówka Wiślana,TP-DWI,18:23:00
6,Kępa Tarchomińska,TP-KTA,18:33:00
2,Dąbrówka Wiślana,TP-DWI,18:43:00
461,Dąbrówka Wiślana,TP-DWI,18:53:00
460,Kępa Tarchomińska,TP-KTA,19:03:00
3,Dąbrówka Wiślana,TP-DWI,19:17:00
011,Kępa Tarchomińska,TP-KTA,19:32:00
5,Dąbrówka Wiślana,TP-DWI,19:47:00
2,Kępa Tarchomińska,TP-KTA,20:02:00
461,Dąbrówka Wiślana,TP-DWI,20:17:00
6,Kępa Tarchomińska,TP-KTA,20:32:00
3,Dąbrówka Wiślana,TP-DWI,20:47:00
460,Kępa Tarchomińska,TP-KTA,21:02:00
5,Dąbrówka Wiślana,TP-DWI,21:17:00
461,Kępa Tarchomińska,TP-KTA,21:32:00
2,Dąbrówka Wiślana,TP-DWI,21:47:00
3,Kępa Tarchomińska,TP-KTA,22:10:00
460,Dąbrówka Wiślana,TP-DWI,22:40:00
461,Dąbrówka Wiślana,TP-DWI,23:10:00
