Lines,Lon,VehicleNumber,Time,Lat,Brigade
251,21.122938,1212,2024-02-16 21:44:09,52.08926,65
263,21.106336,1213,2024-02-16 21:44:08,52.1708439,3
251,21.024019,1214,2024-02-16 21:44:09,52.179539,63
218,21.018225,1216,2024-02-16 21:44:02,52.189251,1
251,21.113121,1217,2024-02-16 21:44:06,52.109074,64
118,20.995476,1218,2024-02-16 21:36:32,52.188267,4
739,20.9956811,1219,2024-02-16 20:44:40,52.1884899,014
739,20.995235,1220,2024-02-16 20:30:50,52.188255,07
106,21.0053706,1221,2024-02-16 21:44:08,52.2378395,4
106,20.9651036,1222,2024-02-16 21:44:06,52.2476962,2
218,21.02146,1223,2024-02-16 21:44:06,52.190704,3
319,20.9968672,1224,2024-02-16 20:15:51,52.1869541,08
181,20.9809358,1400,2024-02-16 21:44:06,52.2754096,4
178,21.0441815,1401,2024-02-16 21:44:02,52.2651065,012
319,21.11496,1411,2024-02-16 14:00:59,52.234493,02
173,21.1163402,1412,2024-02-16 20:59:38,52.2331404,1
119,21.2055861,1413,2024-02-16 21:44:09,52.2100487,2
507,21.0565312,1414,2024-02-16 21:44:07,52.2377642,214
119,21.133653,1415,2024-02-16 21:44:09,52.2080585,3
183,21.088921,1416,2024-02-16 21:44:09,52.245087,5
319,21.1163974,1417,2024-02-16 20:58:09,52.2331087,02
730,21.115705,1418,2024-02-16 21:44:07,52.2346327,01
146,21.116421,1419,2024-02-16 20:51:12,52.23306,08
183,21.1161936,1420,2024-02-16 21:41:06,52.2331816,3
183,21.145386,1421,2024-02-16 21:44:08,52.249798,6
183,21.1557,1422,2024-02-16 21:44:04,52.2553,4
168,21.097605,1424,2024-02-16 21:44:09,52.234402,1
173,21.1164632,1425,2024-02-16 20:48:41,52.2331479,012
146,21.11475,1426,2024-02-16 21:44:08,52.203278,09
147,21.0598942,1427,2024-02-16 21:44:08,52.2322252,5
153,21.16053,1428,2024-02-16 21:44:06,52.260342,3
183,21.1917312,1429,2024-02-16 21:44:09,52.2387542,2
117,21.116131,1430,2024-02-16 21:44:09,52.23315,2
240,21.0497088,1500,2024-02-16 21:44:01,52.2921991,1
166,21.0440681,1501,2024-02-16 21:44:03,52.1756533,2
118,21.02304,1502,2024-02-16 21:44:02,52.2298195,3
169,21.0424758,1505,2024-02-16 21:43:59,52.2967253,2
170,21.0443976,1506,2024-02-16 20:08:25,52.2647371,2
156,21.044317,1508,2024-02-16 20:41:22,52.2649425,06
126,21.0568331,1509,2024-02-16 21:44:04,52.3018873,3
303,21.045286,1513,2024-02-16 18:34:48,52.264483,1
107,21.0851336,1519,2024-02-16 21:44:07,52.1933141,5
147,21.17585,1520,2024-02-16 21:44:01,52.2061133,4
119,21.006495,1521,2024-02-16 21:44:04,52.210495,4
702,21.117866,1522,2024-02-16 17:32:36,52.233628,03
702,21.115776,1523,2024-02-16 21:27:24,52.233243,2
147,21.117278,1524,2024-02-16 16:44:55,52.233154,3
720,21.1056433,1525,2024-02-16 21:44:05,52.2415817,61
173,21.2175783,1526,2024-02-16 21:44:03,52.2142983,5
168,21.114716,1527,2024-02-16 10:09:42,52.234481,1
115,21.17029,1528,2024-02-16 21:44:06,52.2770867,4
153,21.1563517,1529,2024-02-16 21:44:02,52.2726533,2
147,21.19002,1530,2024-02-16 21:44:08,52.207173,3
119,20.997931,1532,2024-02-16 13:18:48,52.186345,06
218,20.9966033,1533,2024-02-16 21:43:55,52.1880567,5
106,20.972623,1534,2024-02-16 21:44:06,52.231746,1
166,20.995523,1535,2024-02-16 14:59:48,52.188146,6
156,21.046675,1536,2024-02-16 13:48:59,52.263908,4
118,21.023078,1537,2024-02-16 21:44:08,52.245255,2
212,21.045153,1538,2024-02-16 20:43:49,52.264626,06
126,21.0164717,1539,2024-02-16 21:43:59,52.2711,1
156,21.0515283,1540,2024-02-16 21:44:00,52.2919433,225
197,21.048185,1541,2024-02-16 13:09:56,52.26405,011
181,21.044231,1542,2024-02-16 21:34:09,52.26503,2
N11,21.048169,1543,2024-02-16 10:16:14,52.264189,122
123,21.046496,1544,2024-02-16 14:50:54,52.264099,09
107,21.002121,1545,2024-02-16 21:44:03,52.243506,2
123,21.0522683,1546,2024-02-16 21:43:59,52.2530117,4
123,21.044638,1548,2024-02-16 20:05:50,52.264938,08
122,20.961695,1549,2024-02-16 21:44:05,52.2591567,8
122,21.048055,1550,2024-02-16 13:11:16,52.26422,012
123,21.0948667,1551,2024-02-16 21:44:01,52.2301233,5
736,21.048173,1552,2024-02-16 21:31:56,52.264168,2
122,21.044673,1553,2024-02-16 19:39:36,52.264793,011
166,21.045303,1554,2024-02-16 21:43:52,52.248566,343
126,21.0,1555,2024-02-16 21:43:56,52.3145017,2
197,20.9529521,1800,2024-02-16 21:44:05,52.2745111,3
123,21.044341,1801,2024-02-16 20:29:07,52.2649728,07
338,21.0455381,1802,2024-02-16 18:22:49,52.2643481,03
166,21.0682093,1803,2024-02-16 21:44:02,52.1292475,8
170,21.0807755,1804,2024-02-16 21:44:03,52.2772433,05
156,21.0848565,1805,2024-02-16 21:44:04,52.2728421,1
117,21.0453836,1806,2024-02-16 21:00:34,52.2649305,06
221,21.046234,1807,2024-02-16 19:21:51,52.264761,02
197,20.9309316,1808,2024-02-16 21:44:05,52.2250956,6
173,21.1231075,1809,2024-02-16 21:44:04,52.2359475,8
156,20.9368748,1810,2024-02-16 21:44:01,52.2877023,3
156,21.040935,1811,2024-02-16 21:44:06,52.2893471,2
221,20.9940991,1812,2024-02-16 21:44:05,52.2593765,1
170,21.0435881,1813,2024-02-16 21:42:33,52.265509,06
170,21.0442498,1814,2024-02-16 20:49:35,52.2650431,4
197,20.9424223,1815,2024-02-16 21:44:03,52.2290538,7
169,21.0518443,1816,2024-02-16 21:44:02,52.2528803,5
181,21.0478216,1817,2024-02-16 19:52:26,52.2645378,3
123,21.0469248,1818,2024-02-16 21:43:58,52.2637041,6
166,21.044327,1819,2024-02-16 20:30:29,52.2648775,09
115,21.223432,1830,2024-02-16 21:44:11,52.1599888,1
122,21.0462678,1833,2024-02-16 20:06:56,52.264533,013
173,21.263881,1835,2024-02-16 21:43:54,52.24557,4
117,21.0136463,1838,2024-02-16 21:44:07,52.2301096,5
338,21.0455458,1839,2024-02-16 18:25:33,52.2644413,04
115,21.1168438,1840,2024-02-16 20:11:48,52.2330185,5
525,21.1158833,1842,2024-02-16 21:44:08,52.2333313,207
117,21.0331428,1843,2024-02-16 21:43:59,52.2343905,1
173,21.2525478,1844,2024-02-16 21:44:01,52.233618,6
730,21.1166306,1845,2024-02-16 21:27:13,52.233089,52
338,21.046276,1846,2024-02-16 19:08:53,52.264681,01
115,21.1173401,1848,2024-02-16 21:44:04,52.2331181,2
115,21.2423088,1849,2024-02-16 21:44:03,52.1699355,2
115,21.1831963,1851,2024-02-16 21:44:06,52.2476011,6
115,21.1161643,1855,2024-02-16 21:44:07,52.2343205,6
303,21.0460155,1856,2024-02-16 18:08:40,52.2643611,3
173,21.0673493,1857,2024-02-16 21:44:04,52.250312,9
173,21.1784133,1858,2024-02-16 21:44:04,52.245295,3
173,21.1153576,1859,2024-02-16 21:44:02,52.2349823,3
117,21.1177438,1862,2024-02-16 21:03:12,52.2334443,3
730,21.3744318,1863,2024-02-16 21:44:06,52.1971793,01
115,21.163091,1869,2024-02-16 21:43:52,52.221171,3
222,20.9956987,1901,2024-02-16 21:44:08,52.1934722,6
E-1,20.997366,1903,2024-02-15 10:23:09,52.185998,04
222,20.996773,1904,2024-02-16 16:59:27,52.18585,5
900,20.995118,1905,2024-02-15 09:50:34,52.185748,1
106,20.995393,1906,2024-02-16 20:59:29,52.185903,7
106,20.9655811,1907,2024-02-16 21:44:09,52.2381672,3
319,20.995225,1908,2024-02-16 21:44:07,52.18605,01
106,21.019471,1909,2024-02-16 21:44:08,52.246289,5
222,21.0206829,1910,2024-02-16 21:44:09,52.2237175,4
222,21.0065429,1911,2024-02-16 21:44:09,52.1890107,2
222,20.9973476,1912,2024-02-16 20:58:34,52.1860319,6
119,20.995306,1914,2024-02-16 20:06:16,52.186818,07
166,20.995223,1915,2024-02-16 13:38:21,52.186773,010
119,20.995213,1916,2024-02-16 21:01:57,52.186673,06
222,21.018053,1917,2024-02-16 21:44:05,52.236191,3
319,20.995238,1918,2024-02-16 20:23:47,52.186796,03
222,20.995192,1919,2024-02-16 21:41:13,52.186649,1
222,20.995247,1920,2024-02-16 16:02:59,52.186024,4
331,20.9953632,1990,2024-02-16 16:24:30,52.1862169,01
331,20.995351,1991,2024-02-16 19:47:29,52.186278,03
331,20.995313,1992,2024-02-16 18:26:06,52.186443,04
